name,class,gal_l2,gal_b2,hard_hm,hard_hs
2CXO J053925.9-033253,STAR,5.771693339656456,4.0113019985199045,0.0,0.0
2CXO J095938.2+013015,AGN,6.595084489421411,7.316524002501201,5.556250000000013,4.38125
2CXO J160441.4+164538,AGN,0.8397647609334271,7.469815667391818,6.6374999999999975,7.0499999999999785
2CXO J105026.0+330602,STAR,5.351045207887965,8.529720706425744,3.1000000000000183,0.0
2CXO J031742.5-663123,HMXB,7.873252940085554,2.500365219444233,3.431250000000009,2.6062499999999926
2CXO J093514.7+033545,AGN,6.4100726471235,7.098817404076612,10.0,6.493750000000016
2CXO J124846.8-054852,ULX,8.381031497753547,8.182911450639343,5.4812499999999975,5.218749999999999
2CXO J005709.0-721635,STAR,8.397748581728145,2.4904700210841253,6.875000000000006,6.693750000000013
2CXO J180507.0-274309,CV,0.08929537402435808,4.822997031820376,4.318750000000013,1.8937500000000127
2CXO J053543.4-053244,STAR,5.8114442405663205,3.9144842372405173,0.0,0.0
2CXO J103135.9+573311,AGN,4.225285960763912,7.8397317079806434,6.449999999999987,3.2812500000000107
2CXO J024224.4+000008,ULX,4.777932122484608,2.0925584785463536,3.1749999999999936,0.3749999999999716
2CXO J105237.3+573103,AGN,4.145787742283607,7.962836442526302,0.0,0.0
2CXO J104127.7+000305,AGN,6.9020919002228975,7.715446762960206,4.949999999999998,3.3687499999999733
2CXO J133935.3-633942,STAR,8.562299167019695,4.9238246372372325,3.681250000000007,1.5562500000000032
2CXO J105130.8+573440,STAR,4.1483763300175385,7.95443474728239,0.0,0.0
2CXO J143132.1+341417,AGN,1.5945473496193834,8.761348436556313,3.900000000000012,2.7874999999999845
2CXO J053535.2-064841,STAR,5.844372046543591,3.881097006921209,0.0,0.0
2CXO J174438.7-291521,YSO,9.989346981889877,4.996571043324272,6.849999999999982,10.0
2CXO J122900.5+135825,ULX,7.7812094780561125,9.232729561579683,5.493750000000001,8.42499999999999
2CXO J134824.2+283253,AGN,1.1852895705478257,9.316058867955476,5.912499999999977,5.781249999999987
2CXO J064052.0+094504,STAR,5.6403487830373775,5.11353377842713,0.0,0.0
2CXO J203322.6+411340,YSO,2.2269113690826607,5.0358149130984415,8.318750000000023,10.0
2CXO J004229.1+411348,CV,3.364487358517399,3.7884988640069164,0.0,0.0
2CXO J233623.2+020607,STAR,2.4507288329056838,1.8880149196123373,6.399999999999987,0.0
2CXO J125912.8-013407,AGN,8.527064384898344,8.417058147460612,0.0,0.0
2CXO J071840.8-245747,STAR,6.616278331006496,4.685550779133883,3.7937499999999935,1.7812499999999756
2CXO J123243.0+114627,AGN,7.946008563770115,9.131431570278247,6.543750000000018,3.3874999999999784
2CXO J115129.3+382552,AGN,4.64318506008127,9.080341350433184,5.837500000000004,4.300000000000007
2CXO J191804.2+120611,YSO,1.2977330394795006,4.978815484544668,6.975000000000005,7.23749999999999
2CXO J002532.2+682145,AGN,3.3482559420351024,5.3092305073514,9.356250000000024,9.706250000000024
2CXO J202229.2+364613,STAR,2.0920778065322723,4.9865457346642605,5.293749999999998,0.0
2CXO J112956.5+364919,AGN,4.9576911780750015,8.920067918805586,5.149999999999999,3.718750000000018
2CXO J235752.7-323309,HMXB,0.129407053325324,0.6832227600623613,6.131249999999982,6.131249999999982
2CXO J215327.6+471511,STAR,2.6217455125229274,4.687823715012745,3.662500000000001,2.7312500000000166
2CXO J104501.9-594159,STAR,7.988922970057938,4.9597311694390855,4.96875,1.7937500000000135
2CXO J075922.9-604731,STAR,7.609144546656841,4.116905026240772,0.0,0.0
2CXO J162210.3-502733,YSO,9.25976835271731,4.969608881958116,9.05000000000001,10.0
2CXO J063533.0+034452,STAR,5.771768284228308,4.894252336999418,6.4750000000000085,1.5062500000000036
2CXO J052307.5+332837,STAR,4.821594641155334,4.907717887127164,5.2625,7.225000000000002
2CXO J184741.2-022503,YSO,0.8431286555409367,4.980755016271608,7.493750000000008,10.0
2CXO J104251.3-592542,YSO,7.978622674769659,4.965876129743154,10.0,10.0
2CXO J010354.1-720606,STAR,8.377181213430287,2.4821735760785204,2.531250000000018,0.8999999999999906
2CXO J104736.7+590405,AGN,4.114190660790791,7.877098671036973,7.068749999999985,9.387500000000019
2CXO J121857.8+471607,ULX,3.8431027832747326,8.843497644187938,5.793750000000022,7.212500000000015
2CXO J004345.7+410802,CV,3.3715670372195192,3.7826711627810576,7.656249999999992,5.7437500000000234
2CXO J095752.1+330916,AGN,5.3592318051385135,7.915371769372148,4.281250000000001,2.475
