name,Jmag,Hmag,Kmag
2CXO J180421.1-242112,12.39,11.619000000000002,11.42
2CXO J180421.2-242307,14.144,13.102,12.404000000000002
2CXO J180421.3-242745,12.378,11.542,11.264
2CXO J180421.5-241935,13.239,12.337,12.107
2CXO J180421.6-242114,13.77,12.919,12.704
2CXO J180421.8-241626,12.561,11.67,11.175999999999998
2CXO J180422.5-241850,14.085,11.252,10.526
2CXO J180422.6-241605,13.568,12.637,12.165
2CXO J180422.7-242208,9.085,8.862,8.562000000000001
2CXO J180422.7-242224,14.842,13.843,13.144
2CXO J180423.1-241955,12.386,11.157,10.629
2CXO J180423.3-242608,13.826,13.325,13.25
2CXO J180423.4-242107,13.814,12.82,12.383
2CXO J180423.5-241915,14.621,13.71,13.41
2CXO J180424.3-241516,10.7,10.353,10.242
2CXO J180424.5-241925,12.414,11.447,10.888
2CXO J180424.6-242026,13.157,12.343,12.045
2CXO J180424.6-242502,13.597,11.195,9.934
2CXO J180424.9-242230,14.267,13.099,12.446
2CXO J180424.9-242449,14.017,13.1,12.764
2CXO J180425.0-242127,14.42,13.253,12.713
2CXO J180425.1-242432,14.474,13.575,13.287
2CXO J180425.2-242250,12.745,12.095,11.629
2CXO J180425.4-242039,13.285,12.295,11.593
2CXO J180425.8-242308,6.648,6.482,6.167999999999998
2CXO J180426.2-242401,13.17,12.116,9.013
2CXO J180426.3-242456,14.140999999999998,13.026,12.299
2CXO J180426.7-242213,13.401,12.425999999999998,11.787
2CXO J180426.8-242323,12.177,11.297,10.642
2CXO J180427.0-242106,13.31,12.358,11.847
2CXO J180427.2-242056,14.056,12.585,11.56
2CXO J180427.3-241931,14.220999999999998,13.565,13.11
2CXO J180427.4-242213,13.327,12.377,12.045
2CXO J180427.7-242431,13.404000000000002,12.511,12.253
2CXO J180427.8-241748,14.062,13.032,12.53
2CXO J180427.9-242208,13.421,12.532,11.957
2CXO J180428.0-242241,13.839,12.729,12.755
2CXO J180428.0-242801,13.986,12.887,12.287
2CXO J180428.2-242538,13.792,13.152,12.849
2CXO J180428.2-242547,13.505,12.375,11.58
2CXO J180428.3-242111,12.469,11.59,11.181
2CXO J180428.4-242250,13.706,12.693,12.002
2CXO J180428.8-242104,14.677,13.649,13.095
2CXO J180428.9-242316,12.645,11.428,10.735
2CXO J180429.2-242343,13.149,12.235,11.735
2CXO J180429.3-242435,14.315,12.053,11.313
2CXO J180429.4-242304,12.495,11.689,11.392
2CXO J180429.5-242230,11.657,10.942,10.65
2CXO J180429.8-241429,13.800999999999998,12.669,12.041
2CXO J180429.9-242019,13.509,12.663,12.392
2CXO J180430.7-242224,15.434,14.714,14.417
2CXO J180430.8-242644,13.309,12.157,11.332
2CXO J180430.9-242459,13.407,12.470999999999998,11.963
2CXO J180430.9-242601,13.425999999999998,12.102,11.55
2CXO J180431.6-241454,13.958,13.084,12.711
2CXO J180431.8-242440,13.127,12.314,12.089
2CXO J180432.3-242755,14.983,13.364,12.322
2CXO J180433.8-241422,15.743,13.767,12.962
2CXO J180441.5-242340,13.879,12.781,12.146
2CXO J180443.0-242329,12.727,12.251,12.115
2CXO J180444.1-241438,13.304,12.591,12.387
2CXO J180444.8-241312,13.321,12.565,12.147
2CXO J180447.8-242330,12.575,11.809,11.657
2CXO J180454.4-241406,12.757,11.609000000000002,11.044
2CXO J180540.4-273425,13.345,12.703,12.532
2CXO J180727.2-250616,7.145,6.9670000000000005,6.856
2CXO J180935.6-255553,7.504,7.004,6.8210000000000015
2CXO J010128.5-724615,16.175,16.31,15.481
2CXO J010423.6-731156,9.184,8.957,8.918
2CXO J011203.0-725308,13.912,13.081,12.934
2CXO J011838.2-732525,9.189,8.785,8.743
2CXO J122453.3+123917,17.078,15.655,15.46
2CXO J122546.7+095519,16.359,15.648,15.192
2CXO J122628.2+090111,13.678,12.902,12.476
2CXO J122811.4+095126,14.921,14.208,13.755
2CXO J122829.5+170505,11.271,10.518,10.456
2CXO J122926.4+132019,15.376,14.572,13.898
2CXO J122934.1+134630,15.75,15.1,14.476
2CXO J122945.9+132609,15.706,15.2,14.899
2CXO J123052.6+143304,15.797,15.182,14.499
2CXO J123201.3+142444,15.593,13.608,13.317
2CXO J123310.4+161053,16.015,15.35,15.274
2CXO J123619.3+163302,8.777000000000001,8.501,8.463
2CXO J123713.9+093303,9.515,9.202,9.112
