name,g_mag,bp_mag,rp_mag
2CXO J180424.3-241516,12.068424,12.509594,11.458043
2CXO J180424.5-241925,15.002262,15.891589000000002,14.009992
2CXO J180424.6-242026,15.746314000000002,16.612054999999998,14.732612
2CXO J180424.6-242502,17.569546,19.239288000000002,16.463884
2CXO J180424.9-242230,16.861033,17.695478,15.838307999999998
2CXO J180424.9-242449,16.727284,17.765167,15.649633999999999
2CXO J180425.0-242127,17.880092,19.625282000000002,16.766033
2CXO J180425.1-242432,17.778793,19.271639999999998,16.522915
2CXO J180425.2-242250,15.536767999999999,16.346859,14.523726000000002
2CXO J180425.4-242039,15.914315,16.475212,14.812884
2CXO J180425.4-242514,20.244901000000002,20.948612,18.68165
2CXO J180425.8-242308,7.339391,7.463867,7.039011
2CXO J180425.9-242249,16.886689,17.757414,15.788854
2CXO J180426.2-242401,16.016977999999998,16.979294,15.012016000000001
2CXO J180426.3-242456,17.038288,18.178808,15.933679999999999
2CXO J180426.5-242140,17.412696,18.603285,16.202423
2CXO J180426.7-242213,16.232405,17.25348,15.180919
2CXO J180426.8-242323,14.768554,15.531625,13.733803
2CXO J180427.0-242106,15.954478,16.848827,14.924373000000001
2CXO J180427.1-242246,16.95105,14.933291,14.937976
2CXO J180427.2-242056,16.387805,17.151617,15.225179999999998
2CXO J180427.3-241931,17.495834,18.837713,16.325474
2CXO J180427.4-242213,16.519692000000003,17.341566,15.034507000000001
2CXO J180427.7-242431,16.17916,17.30322,15.090012
2CXO J180427.8-241748,17.811377,18.995335,16.422995
2CXO J180427.9-242208,16.012948,16.943813000000002,15.0449
2CXO J180428.0-242241,16.489679000000002,17.483934,15.385955
2CXO J180428.0-242801,17.790070999999998,19.317989999999998,16.217554
2CXO J180428.2-242538,17.089663,18.060982,15.908006
2CXO J180428.2-242547,17.382857,17.88504,15.838359
2CXO J180428.3-242111,15.916776,16.861568,14.801889000000001
2CXO J180428.4-242250,16.180988,16.981379,15.160307000000001
2CXO J180428.8-242104,17.973141000000002,19.223444,16.81126
2CXO J180429.2-242343,15.759203,16.725217999999998,14.746321
2CXO J180429.3-242435,18.022551999999997,18.955841,16.803913
2CXO J180429.4-241928,18.277801999999998,16.50198,16.038195
2CXO J180429.4-242304,15.027539,16.004856,14.007425
2CXO J180429.5-242230,13.931147,14.678610999999998,12.997114
2CXO J180429.8-241429,16.92517,18.106548,15.746715
2CXO J180429.9-242019,16.075165,17.202406,15.052916
2CXO J180430.3-242535,18.491735000000002,20.112053,17.396654
2CXO J180430.7-242224,19.649207,20.140226000000002,18.063885
2CXO J180430.9-242459,16.207063,17.291114999999998,15.15078
2CXO J180430.9-242601,20.043445000000002,21.669832,19.155571
2CXO J180431.6-241454,16.934587,18.391722,15.753611
2CXO J180431.8-242440,15.596979999999999,16.587837,14.617695000000001
