name,fuv_mag,nuv_mag
2CXO J103728.3-352806,20.7,14.683
2CXO J103950.2+593510,,20.313
2CXO J104251.3+591159,,22.194000000000006
2CXO J104304.1+590633,22.299,21.441
2CXO J104308.1+590319,,22.258000000000006
2CXO J104321.8+591254,,21.729
2CXO J104335.7+585248,,22.534
2CXO J104343.1+585535,,21.317
2CXO J104343.8+590827,,22.432
2CXO J104404.0+590134,,22.018
2CXO J104405.6+590525,,22.669
2CXO J104407.9+584437,,22.833
2CXO J104415.5+584317,22.427,21.442
2CXO J104451.3+591946,22.407,21.895
2CXO J104503.3+591242,,22.791
2CXO J104511.1+591625,,22.032
2CXO J104604.0+584424,21.905,22.86
2CXO J104606.3+583906,18.069000000000006,18.171
2CXO J104613.1+590941,,21.481
2CXO J104622.0+585629,,21.935
2CXO J104624.9+584839,20.925,19.902
2CXO J104713.5+591501,,21.256
2CXO J104725.8+593209,,21.576
2CXO J104803.6+141242,16.980999999999998,12.371
2CXO J104811.7+591046,22.01,21.195
2CXO J104828.7+585200,,18.983
2CXO J104836.0+591206,,22.481
2CXO J104919.4+585850,,20.852
2CXO J105055.3+132835,,21.005
2CXO J105630.3-771138,20.043,18.181
2CXO J105816.7-771716,21.294,19.396
2CXO J105907.1-770139,20.348,17.857
2CXO J110014.5-771437,,16.925
2CXO J110224.8-773335,17.201,16.339000000000002
2CXO J110242.8+594122,,20.075
2CXO J110850.9-762513,,22.229
2CXO J110917.6-762757,,21.577
2CXO J111007.0-762937,19.831,18.513
2CXO J111040.2+405804,20.514,19.417
2CXO J111053.3-763432,19.393,17.677
2CXO J111134.8-763621,,20.621
2CXO J111139.9+405817,21.963,21.884
2CXO J111209.8-763436,20.656,21.027
2CXO J111227.7-764423,17.735,15.313
2CXO J111333.0-763538,,22.545
2CXO J111420.3+410116,19.86,18.557
2CXO J111450.7+570336,,20.497
2CXO J111509.5+570854,21.655,21.434
2CXO J111520.7+404326,18.681,18.414
2CXO J111607.6+412352,20.766,19.353
2CXO J111702.2+175455,,20.246
2CXO J111703.5+174122,20.94,19.977
2CXO J111813.7+402837,,21.793000000000006
2CXO J111847.8+402643,,21.391
2CXO J111848.6+402647,,18.899
2CXO J111849.7+402228,,20.137
2CXO J112019.6+130320,20.808000000000003,20.605
2CXO J112026.2+134024,,19.726
2CXO J112320.4+535631,,20.164
2CXO J112455.1+534323,,21.438
2CXO J112526.5+022039,19.792,19.622
2CXO J113210.4+572145,20.777,19.772
2CXO J113215.0+572124,,21.618
2CXO J114103.9-015504,20.251,18.705
2CXO J114111.6-014306,,20.039
2CXO J114119.2-014856,,20.646
2CXO J114129.5+560731,,19.857
2CXO J114455.1+495211,,22.207
2CXO J114931.7+223029,,17.735
2CXO J115118.8+485336,21.137,20.04
2CXO J115147.3+484101,15.622,15.155
2CXO J115238.7+441246,20.785,19.999
2CXO J115249.5+435111,21.88,21.926
2CXO J115307.4+440219,,20.274
2CXO J115404.9+234035,,21.321
2CXO J115628.3+233316,,19.903
2CXO J115651.1+233106,,20.04
2CXO J115729.3+490742,,19.276
2CXO J115906.3+434643,21.362,20.269
2CXO J115907.7+494257,21.609,16.51
2CXO J115932.8+494706,20.195,18.413
2CXO J120100.1+133128,21.662,20.934
2CXO J120130.3+011138,19.535,18.905
2CXO J120315.9+152448,,22.095
2CXO J120341.0+152202,,20.425
2CXO J120426.4+014434,21.014,20.26
2CXO J120426.6+015534,,20.95
2CXO J120436.6+015025,,20.311
2CXO J120450.7+442835,20.572,19.215
2CXO J120550.2+020131,,21.235
2CXO J120555.4-075433,,20.64
2CXO J120746.1+430736,18.96,17.741
2CXO J120825.3+141921,22.087,19.909
2CXO J120907.3+135630,19.83,19.281
2CXO J120913.6+433920,20.543000000000006,19.327
2CXO J120936.0+423203,17.553,16.447
2CXO J121050.9+503248,18.694000000000006,13.12
2CXO J121055.4+511255,,19.939
2CXO J121125.4+151851,,21.068
2CXO J121205.3+152003,21.453000000000007,21.108
2CXO J121359.2+293617,20.837,20.784
2CXO J121417.8+293143,18.4,18.322
2CXO J121727.9+115504,20.291,20.276
2CXO J121807.1+295611,21.383000000000006,20.957
2CXO J121845.6+293427,,19.979
2CXO J121930.9+104700,21.855,19.874
2CXO J121950.7+142301,18.412,13.289
2CXO J122020.7+125133,,21.33
2CXO J122044.3+172909,,19.898
2CXO J122142.7+112412,,21.312
2CXO J122202.4+145133,21.884,16.101
2CXO J122230.7+155548,20.459,19.805
2CXO J122232.4+074627,21.746,18.933
2CXO J122310.6+080841,21.938,21.653
2CXO J122321.5+081433,,20.911
2CXO J122442.3+332937,21.19,20.021
2CXO J122503.1+155242,21.144,20.419
2CXO J122506.4+483434,21.72,20.012
2CXO J122527.4+223512,20.636,18.497
2CXO J122624.6+483712,20.521,19.023
2CXO J122627.0+332145,,20.024
2CXO J122731.5+333258,,20.811
2CXO J122814.6+120010,,20.658
2CXO J122822.0+114606,20.334,19.821
2CXO J122824.2+114349,20.58,19.497
2CXO J122842.7+032640,20.821,20.247
2CXO J122849.4+033245,,19.904
2CXO J122915.7+473622,22.463,19.989
2CXO J122948.5+114333,,15.288
2CXO J122948.6+331955,21.202,20.173
2CXO J122957.9+112019,20.114,19.793
2CXO J123005.8+030204,21.353,20.635
2CXO J123019.5+474711,,19.216
2CXO J123025.9+030535,,19.888
2CXO J123027.3+030627,19.182,18.805
2CXO J123039.9+030856,,20.907
2CXO J123054.8+030536,21.722,20.838
2CXO J123105.2+013141,20.364,20.031
2CXO J123107.1+025724,19.834,18.634
2CXO J123125.7+475013,,22.59
2CXO J123128.5+013523,21.521,20.122
2CXO J123138.1+475052,20.036,18.993
2CXO J123153.0+474358,21.131,20.976
2CXO J123300.8+471927,,21.39
2CXO J123301.7+472455,,19.555
2CXO J123325.8+093123,16.704,16.406
2CXO J123335.0+475800,17.914,17.581
2CXO J123346.5+132222,,20.342
2CXO J123411.7+615832,,21.778
2CXO J123415.1+481308,15.975,15.800999999999998
2CXO J123416.1+025328,21.933000000000003,21.177
2CXO J123424.9+475456,,22.067
2CXO J123426.7+615431,,22.111
2CXO J123451.9+115720,19.733,18.933
2CXO J123512.5+615054,,21.672
2CXO J123627.9+102840,20.591,20.182
2CXO J123629.9+101733,21.134,19.993
2CXO J123955.1+474936,,21.676
2CXO J124000.1+095101,,21.303
2CXO J124006.7+474003,21.501,19.186
2CXO J124009.3+035130,22.533,21.01
2CXO J124219.4+041847,20.35,19.375
2CXO J124542.3-401637,19.155,13.945
2CXO J124551.0+032128,19.089,18.644
2CXO J125610.4+260103,,21.773000000000003
2CXO J125711.9+274216,19.956,19.022
2CXO J125742.5-013018,21.032,20.093
2CXO J125745.0+273210,,21.367
2CXO J125828.8+282714,,21.531
2CXO J125837.5-013033,,22.204
2CXO J125900.1-015619,,22.001
2CXO J125943.5+010255,20.538,19.743
2CXO J125948.8+342322,18.288,17.394000000000002
2CXO J130004.2+011025,22.285,20.617
2CXO J130128.7-005804,21.255,20.958
2CXO J130132.6+003802,,22.401
2CXO J130132.6+463402,21.517,21.5
2CXO J130134.6+000644,,22.653
2CXO J130136.2+000159,,19.687
2CXO J130158.0-014212,,18.46
2CXO J130200.1+274657,19.889,18.89
2CXO J130211.0+000004,,20.286
2CXO J130215.8+000053,22.086,20.376
2CXO J130230.2+000739,23.334,21.439
2CXO J131208.6-010709,,20.662
2CXO J131706.1+290917,,20.405
2CXO J131736.7+291116,,21.589
2CXO J131744.3+291339,21.91,17.69
2CXO J131800.2+325752,20.777,20.765
2CXO J131845.5+330613,,20.133
2CXO J131930.0+325045,21.245,21.887
2CXO J132117.5+340751,,21.308000000000003
2CXO J132131.6+512730,20.875,19.727
2CXO J132138.3+511743,19.174,18.909
2CXO J132438.7+291012,19.85,19.316
2CXO J132812.9-313307,,13.556
2CXO J132847.3-312943,19.633,14.195
2CXO J132951.9-020331,20.373,19.813
2CXO J132957.0-015705,,22.235
2CXO J132958.6-313240,21.125,16.878
2CXO J133031.4-002817,20.582,20.442
2CXO J133035.4-002814,,20.967
2CXO J133037.1-003320,,21.284
2CXO J133052.6-003039,22.479,22.115
2CXO J133100.4-013050,,21.94
2CXO J133102.5-015014,20.243,19.991
2CXO J133108.3+303033,18.91,17.684
2CXO J133140.9-015214,19.286,19.14
2CXO J133744.2+293511,,21.254
2CXO J133749.0+375356,21.589,20.35
2CXO J133833.0+292908,20.171,20.38
2CXO J134745.5+283842,,22.197
2CXO J134751.5+283629,18.849,17.573
2CXO J134804.3+284025,,20.396
2CXO J134826.5+284315,,22.23
2CXO J141225.3-003854,,21.405
2CXO J141234.6-003500,20.149,19.704
2CXO J141343.4-003339,,21.398000000000003
2CXO J141531.0+112712,,21.498
2CXO J141540.0+112406,,19.567
2CXO J142329.1+343746,20.572,19.774
2CXO J142359.2+375716,19.92,19.085
2CXO J142408.1+375126,20.739,19.435
2CXO J142412.3+375536,20.496,19.625
2CXO J142447.9+324935,19.517,19.673
2CXO J142504.7+344842,,20.151
2CXO J142653.3+344513,21.439,20.007
2CXO J142739.5+331215,19.971,19.87
2CXO J142744.3+333829,21.014,19.813
2CXO J142753.8+345244,20.678,19.582
2CXO J142826.3+324809,21.966,19.307
2CXO J142858.1+322850,21.917,20.972
2CXO J142859.0+322506,18.338,17.733
2CXO J142911.2+324823,19.938,19.078
2CXO J142914.4+354125,,20.316
2CXO J142935.9+322631,21.919,21.235
2CXO J142940.7+032126,18.228,18.266
2CXO J143111.5+334230,21.399,20.314
