name,W1mag,W2mag,W3mag,W4mag
2CXO J100135.4+025405,17.124000000000002,15.851,12.235,8.78
2CXO J100136.5+025303,16.401,15.371,12.245,8.828
2CXO J100228.9+013544,15.509,15.108,11.255,8.455
2CXO J100319.1+022422,17.13,15.933,12.637,9.15
2CXO J100327.7+015742,14.37,13.11,10.35,7.902
2CXO J122307.5+103448,15.67,14.829,11.588,8.62
2CXO J122419.8+110722,15.552,14.459,11.162,8.674
2CXO J122453.3+123917,14.226,13.364,10.316,7.87
2CXO J122454.7+123609,16.948,15.761,12.055,8.772
2CXO J122546.7+095519,13.772,13.158,9.834,7.588999999999999
2CXO J122628.2+090111,11.057,11.04,8.889,6.7429999999999986
2CXO J122752.5+080526,15.767,14.206,10.531,8.38
2CXO J122805.3+100225,14.238,13.218,10.543,8.051
2CXO J122811.4+095126,12.84,12.512,10.484000000000002,7.886
2CXO J122829.5+170505,9.105,9.074,7.484,5.574
2CXO J122926.4+132019,13.21,12.529000000000002,9.04,6.9620000000000015
2CXO J122926.6+122305,16.016,14.939,12.062,8.304
2CXO J122934.1+134630,13.809,13.118,10.041,6.895
2CXO J122945.9+132609,13.175,13.107,12.185,8.839
2CXO J123039.6+104347,14.969,13.602,10.709,9.136
2CXO J123048.0+103556,17.28,16.980999999999998,12.478,9.024
2CXO J123052.6+143304,13.685,13.147,10.2,7.87
2CXO J123055.5+164226,15.696,14.509,11.369000000000002,8.756
2CXO J123056.8+165441,15.661,14.585,11.17,8.877
2CXO J123101.2+081221,16.794,15.116,11.361,8.48
2CXO J123127.4+135449,14.416,13.411,11.008,8.394
2CXO J123200.3+142224,15.111,14.259,11.388,8.585
2CXO J123219.7+110952,15.344,14.091,11.091,8.482000000000001
2CXO J123227.9+141558,14.745,13.804,10.749,8.42
2CXO J123243.0+114627,15.23,13.979,11.300999999999998,8.62
2CXO J123248.3+134945,14.202,13.029000000000002,10.526,8.231
2CXO J123310.0+161125,14.859000000000002,13.55,10.884,8.144
2CXO J123310.4+161053,14.345999999999998,13.144,9.677,7.356
2CXO J123310.6+164905,14.788,13.29,10.054,7.614
2CXO J123318.1+110032,16.221,15.197,11.948,8.929
2CXO J123559.6+072207,14.597,13.384,10.479,7.9460000000000015
2CXO J123619.3+163302,8.408999999999999,8.446,8.432,8.329
2CXO J123713.9+093303,9.035,9.053,9.041,8.823
2CXO J123733.7+131905,13.683,12.761,10.036,7.437
2CXO J124057.3+110110,14.130999999999998,13.044,10.372,8.006
2CXO J124233.6+121224,14.349,13.353,10.307,7.4129999999999985
2CXO J124246.0+122405,15.553,14.282,11.172,8.789
2CXO J124357.2+113301,17.633,15.113,12.662,9.103
2CXO J124406.9+113523,15.664,14.764,12.042,8.536
2CXO J124416.5+124601,15.733,14.220999999999998,10.98,8.572000000000001
2CXO J124431.1+111404,14.483,13.132,10.378,8.704
2CXO J124445.7+111655,15.159,14.095,11.479,8.812000000000003
2CXO J143040.5+364903,14.614,13.737,10.973,8.75
2CXO J143118.1+364704,15.682,14.372,10.782,8.396
2CXO J164806.5-451206,9.154,8.832,7.991,5.199
2CXO J173303.4-293902,6.0310000000000015,5.901,6.034,5.917999999999998
2CXO J174124.1-265754,8.033,8.016,8.183,8.115
2CXO J174307.8-281301,3.487,2.64,1.27,0.404
2CXO J174409.5-310803,7.934,8.027999999999999,8.295,7.4929999999999986
2CXO J174445.7-271344,6.064,5.612,4.944,4.019
2CXO J174925.3-312356,10.562,10.143,8.326,6.365
2CXO J175041.0-291643,7.591,7.637,7.6560000000000015,7.1110000000000015
2CXO J175114.2-304922,8.872,8.404,7.218,6.109
2CXO J175707.5-270852,8.917,8.867,9.025,7.574
2CXO J180326.4-251559,5.652,5.609,5.72,5.626
2CXO J180421.5-214234,10.792,10.422,8.11,4.846
2CXO J180912.3-202801,8.745,8.811,8.096,4.145
2CXO J180928.4-241402,11.097,9.741,8.256,5.278
2CXO J181153.8-190325,7.638,7.677,7.468,5.897
2CXO J181226.9-183952,6.803,6.692,7.204,6.2570000000000014
2CXO J181228.6-183850,8.234,8.288,8.637,6.09
2CXO J181301.8-175657,7.155,7.247999999999998,7.298999999999999,6.305
2CXO J181341.2-175115,9.304,8.969,7.855,3.805
2CXO J181343.2-174709,9.235,8.974,7.841,5.869
2CXO J181347.4-175430,11.298,11.032,8.878,4.547
2CXO J181353.1-175326,9.389,8.801,7.4529999999999985,2.954
2CXO J181649.6-163104,7.176,7.188,7.3,5.4670000000000005
2CXO J181807.5-165259,9.755,9.059,6.972,4.101
2CXO J181809.5-165009,10.792,8.943999999999997,6.95,3.33
2CXO J181809.8-165212,11.424,9.679,7.138,4.829
2CXO J181810.7-164910,11.374,9.975,8.302,5.176
2CXO J181814.3-165247,9.683,9.191,5.813,3.4930000000000003
2CXO J181814.6-164745,11.299,10.55,8.406,5.405
2CXO J181818.2-164649,10.657,8.711,7.7360000000000015,4.968
2CXO J181819.1-165850,11.351,10.354,7.744,4.626
2CXO J181841.5-170333,9.465,9.522,8.744,6.42
2CXO J181934.5-153519,8.613999999999999,8.646,8.068,6.582000000000002
2CXO J182030.0-143423,10.739,10.294,9.422,7.9929999999999986
2CXO J182047.6-160136,8.062999999999999,8.015,6.202000000000001,3.424
2CXO J182051.0-155658,8.138,8.184,7.971,4.012
2CXO J182103.5-140942,8.102,8.09,7.582999999999998,4.8
2CXO J182107.2-134500,11.348,11.382,9.831,8.074
2CXO J182108.2-155650,10.996,10.291,6.521,1.943
2CXO J182207.2-131336,8.318999999999999,8.332,8.32,6.949
2CXO J182627.7-133153,9.113,8.923,8.896,7.217
2CXO J182632.4-134306,10.652,10.592,8.929,6.7620000000000005
2CXO J182836.7-125950,6.722,6.711,6.799,6.684
2CXO J182853.5-125737,3.686,3.104,3.576,3.504
2CXO J203029.1+411526,9.578,8.552,3.807,1.973
2CXO J203032.3+411617,11.713,11.017,6.939,1.454
2CXO J203035.5+411653,10.918,10.274,8.089,3.477
2CXO J203036.9+412841,11.541,11.02,8.568999999999999,7.104
2CXO J203041.2+411735,12.08,11.715,10.313,5.66
