name,ok,ra,dec,offset,cat_ra,cat_dec,cat_name,catalog,our_class,mw_class,mw_subclass,mw_ref,sep
2CXO J053508.5-052517,0,83.78555286395573,-5.4216502104062245,0.07158733383484825,83.7855417,-5.4216667,[H97b] 323                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.30645700000000003
2CXO J141949.3+060654,1,214.9558035580089,6.115019577668202,0.07162108094311148,214.9558,6.115,SDSS J14198+0606 ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.12678399999999998
2CXO J085123.7+114949,1,132.84910103787877,11.830371093593627,0.0721151009962677,132.8490833,11.8303611,NGC 2682 143               ,SKIFF,STAR,STAR,GKd_c,2020AJ....160..120J,0.15249400000000002
2CXO J105904.7+121023,1,164.76959694700975,12.173319861620865,0.07230448113420808,164.7696,12.1733,SDSS J10590+1210 ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.06816
2CXO J211455.7-432343,1,318.73239901872626,-43.395434377258,0.0724532982576123,318.732375,-43.395444399999995,HD 202042                  ,SKIFF,STAR,STAR,A8/9V,1978MSS...C02....0H,0.07245399999999999
2CXO J100110.1+023242,1,150.29248087708902,2.5450080926958414,0.0746907972052249,150.2925,2.545,COSM J10011+0232 ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.074692
2CXO J101011.8-565532,1,152.54942368170305,-56.925561020471726,0.07494705831620595,152.54946081042996,-56.92555623939,2MASS J10101186-5655320            ,simbad,HMXB,HMXB,HMXB (T),INTEGRAL General Reference Catalog,0.105243
2CXO J100149.6+023853,1,150.45670338534313,2.648120681689838,0.07544284054724254,150.4567,2.6481,COSM J10018+0238 ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.2671
2CXO J184632.0-025724,1,281.63339513782705,-2.9568058207720664,0.07752455662393679,281.6334167,-2.9568056,[A64] Red -02 55           ,SKIFF,STAR,STAR,M5,1964AbaOB..31...27A,0.077524
2CXO J145051.3-000129,1,222.71381823063598,-0.024988401915143545,0.07778596213257383,222.7138,-0.025,SDSS J14508-0001 ,VERONCAT,AGN,AGN,A,2010A&A...518A..10V,0.24915500000000002
2CXO J181044.4-260901,0,272.68527637703284,-26.150371843619556,0.07878208741931357,272.68529166666667,-26.150388888888887,OGLE-BLG-DN-851,opencv,CV,LMXB,"T, B",2007A&A...469..807L,0.14719400000000002
2CXO J181838.1-134425,0,274.65892199254426,-13.740394957948475,0.08042979484157597,274.65891669999996,-13.740416699999999,NGC 6611 228               ,SKIFF,STAR,YSO,B2V,1993AJ....106.1906H,0.08043
2CXO J094133.7+594811,1,145.39043463338498,59.803085991200476,0.08047359210869448,145.3904,59.8031,SBS 0938+600     ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.11259000000000001
2CXO J193030.1+185214,1,292.6255618285564,18.870595163746213,0.08078165542885582,292.6255417,18.8705833,PSR J1930+1852  ,ATNF,PULSAR,PULSAR,HE,2005AJ....129.1993M,0.080817
2CXO J035853.7+541313,1,59.72388482654168,54.22048680317053,0.08139980726675268,59.72384920000001,54.2204956,PSR J0358+5413  ,ATNF,PULSAR,PULSAR,HE[to07],2005AJ....129.1993M,0.08140399999999999
2CXO J062244.5-002044,0,95.68557136542879,-0.3456439679839791,0.08363314802342084,95.68559327387995,-0.34563623904,1A 0620-00                         ,simbad,HMXB,LMXB,"T, U, R",2007A&A...469..807L,0.650709
2CXO J115307.4+440219,1,178.28119643579976,44.03862333645134,0.08451607378072415,178.2812,44.0386,SDSS J11531+4402 ,VERONCAT,AGN,AGN,Q,2010A&A...518A..10V,0.14556
2CXO J053521.6-052714,0,83.8401486449111,-5.454056216045848,0.08476532882938165,83.840125,-5.4540555999999984,[H97b] 689                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.314103
2CXO J103845.8+533012,0,159.69109402153254,53.50335603824088,0.08488104779748662,159.69108333333332,53.50333333333333,CXOU J103845.8+533011              ,simbad,HMXB,AGN,A,2010A&A...518A..10V,0.5650189999999999
