N,Identifier,Otype,ICRS (J2000) RA,ICRS (J2000) DEC
170,CXOGlb J002407.1-720452,BY*,00 24 07.171,-72 04 52.76
171,Cl* NGC  104    EGG V24,BY*,00 24 07.224,-72 04 57.39
172,CXOGlb J002407.2-720446,X,00 24 07.246,-72 04 46.44
173,CXOGlb J002407.3-720519,X,00 24 07.281,-72 05 19.58
174,CXOGlb J002407.2-720454,X,00 24 07.281,-72 04 54.79
175,Cl* NGC  104    EGG V18,EB*,00 24 07.337,-72 05 04.37
176,CXOGlb J002407.3-720449,X,00 24 07.376,-72 04 49.41
177,CXOGlb J002407.4-720554,X,00 24 07.416,-72 05 54.19
178,CXOGlb J002407.5-720620,BY*,00 24 07.523,-72 06 20.09
179,CXOGlb J002407.6-720450,Psr,00 24 07.551,-72 04 50.37
180,CXOGlb J002407.5-720417,X,00 24 07.552,-72 04 17.80
181,CXOGlb J002407.6-720329,X,00 24 07.689,-72 03 29.36
182,CXOGlb J002407.7-720431,X,00 24 07.729,-72 04 31.24
183,CXOGlb J002407.7-720527,CV*,00 24 07.773,-72 05 27.10
184,CXOGlb J002407.8-720441,XB*,00 24 07.804,-72 04 41.57
185,Cl* NGC  104    EGG V4,EB*,00 24 07.812,-72 04 58.40
186,CXOGlb J002407.8-720524,XB*,00 24 07.832,-72 05 24.38
187,Cl* NGC  104    FDP    2835,EB*,00 24 07.885,-72 05 02.00
188,CXOGlb J002407.9-720454,CV*,00 24 07.924,-72 04 54.75
189,PSR J0024-72G,Psr,00 24 07.943,-72 04 39.65
190,[GHE2001] W197,X,00 24 08.021,-72 04 51.28
191,CXOGlb J002408.1-720447,X,00 24 08.103,-72 04 47.88
192,Cl* NGC  104    EGG V29,BY*,00 24 08.163,-72 05 13.23
193,CXOGlb J002408.2-720419,X,00 24 08.202,-72 04 19.85
194,CXOGlb J002408.2-720435,CV*,00 24 08.299,-72 04 35.68
195,CXOGlb J002408.3-720433,X,00 24 08.304,-72 04 33.86
196,GEN# +2.01040017,X,00 24 08.305,-72 04 31.43
197,Cl* NGC  104    EGG V27,BY*,00 24 08.496,-72 05 00.23
198,CXOGlb J002408.5-720438,Psr,00 24 08.507,-72 04 38.77
199,CXOGlb J002408.5-720456,X,00 24 08.530,-72 04 56.26
200,PSR B0021-72T,Psr,00 24 08.54,-72 04 38.9
201,CXOGlb J002408.5-720535,EB*,00 24 08.544,-72 05 35.18
202,[GHE2001] W186,X,00 24 08.549,-72 07 08.13
203,CXOGlb J002408.6-720449,X,00 24 08.672,-72 04 49.41
204,Cl* NGC  104    EGG V41,BY*,00 24 08.757,-72 05 07.56
205,PSR B0021-72N,Psr,00 24 09.193,-72 04 28.83
206,CXOGlb J002409.2-720543,CV*,00 24 09.219,-72 05 43.87
207,CXOGlb J002409.2-720511,X,00 24 09.262,-72 05 11.09
208,CXOGlb J002409.5-720504,XB*,00 24 09.514,-72 05 04.58
209,PSR J0023-72U,Psr,00 24 09.8325,-72 03 59.667
210,Cl* NGC  104  AGBWF  2-4,EB*,00 24 09.834,-72 03 47.95
211,Cl* NGC  104  AGBWF  2-7,XB*,00 24 10.000,-72 04 51.73
212,[GHE2001] W256,BY*,00 24 10.008,-72 04 26.05
213,CXOGlb J002410.0-720441,CV*,00 24 10.048,-72 04 41.20
214,CXOGlb J002410.2-720401,XB*,00 24 10.217,-72 04 01.51
215,CXOGlb J002410.4-720459,XB*,00 24 10.484,-72 04 59.92
216,Cl* NGC  104  AGBWF  4-6,BY*,00 24 10.512,-72 05 06.35
217,CXOGlb J002410.5-720444,X,00 24 10.593,-72 04 44.18
218,CXOGlb J002410.6-720529,XB*,00 24 10.598,-72 05 29.21
219,CXOGlb J002410.6-720516,CV*,00 24 10.642,-72 05 16.37
220,CXOGlb J002410.7-720425,CV*,00 24 10.763,-72 04 25.71
221,CXOGlb J002410.7-720418,X,00 24 10.794,-72 04 18.77
222,CXOGlb J002410.8-720415,X,00 24 10.861,-72 04 15.84
223,CXOGlb J002410.9-720408,X,00 24 10.972,-72 04 08.01
224,CXOGlb J002410.9-720505,X,00 24 10.972,-72 05 05.00
225,[GHE2001] W251,BY*,00 24 11.059,-72 04 44.03
226,CXOGlb J002411.0-720620,CV*,00 24 11.090,-72 06 20.04
227,PSR J0024-7204E,Psr,00 24 11.125,-72 05 20.14
228,CXOGlb J002411.3-720451,X,00 24 11.320,-72 04 50.98
229,CXOGlb J002411.5-720224,X,00 24 11.515,-72 02 24.35
230,CXOGlb J002411.6-720503,X,00 24 11.649,-72 05 03.69
231,CXOGlb J002411.7-720518,X,00 24 11.767,-72 05 18.10
232,CXOGlb J002411.8-720514,XB*,00 24 11.813,-72 05 14.56
233,CXOGlb J002411.8-720443,CV*,00 24 11.915,-72 04 43.84
234,CXOGlb J002412.1-720507,EB*,00 24 12.017,-72 05 08.06
235,[GHE2001] W248,V*,00 24 12.024,-72 05 12.38
236,CXOGlb J002412.1-720455,X,00 24 12.141,-72 04 55.02
237,CXOGlb J002412.2-720450,X,00 24 12.294,-72 04 50.44
238,CXOGlb J002412.5-720521,BY*,00 24 12.521,-72 05 21.70
239,Cl* NGC  104  AGBWF  2-18,BY*,00 24 12.56,-72 04 23.6
240,CXOGlb J002412.6-720440,X,00 24 12.635,-72 04 40.94
241,CXOGlb J002412.9-720445,X,00 24 12.906,-72 04 45.22
242,CXOGlb J002413.4-720451,XB?,00 24 13.464,-72 04 51.13
243,CXOGlb J002413.4-720523,XB*,00 24 13.479,-72 05 23.30
244,CXOGlb J002413.5-720447,BY*,00 24 13.559,-72 04 47.23
245,CXOGlb J002413.7-720334,V*,00 24 13.764,-72 03 34.45
246,CXOGlb J002413.7-720302,X,00 24 13.793,-72 03 02.17
247,PSR J0024-72D,Psr,00 24 13.818,-72 04 43.83
