name,class,gal_b2,gal_l2,hard_hs,hard_hm,hard_ms,var_inter_prob_b,var_inter_sigma_b,var_intra_prob_b,var_inter_index_b,kp_intra_prob_b,var_intra_index_b,h-csc,b-csc,m-csc,s-csc,u-csc,0p3_8_csc,FUV,NUV,u-sdss,g-sdss,r-sdss,i-sdss,z-sdss,W1,W2,W3,W4,4.5 microns (IRAC),8.0 microns (IRAC),24 microns (MIPS),J,H,K,3.6 microns (IRAC),5.8 microns (IRAC),G,Bp,Rp,B-R,G-J,G-W2,Bp-H,Bp-W3,Rp-K,J-H,J-W1,W1-W2
2CXO J162143.7+355534,AGN,7.502624971110652,1.6049812840237387,10.0,4.612499999999996,10.0,10.0,0.0,2.2871625790542733,6.25,5.0456402132112,0.0,3.466975663458172e-10,0.008349057836493161,0.0008671228263633353,0.01437604341897938,0.012478238603231388,0.004602013888702291,8.069042084446451,8.710183400002691,4.885421725591664,8.178920425892269,5.494533762057881,7.275165576535442,7.628426072210224,7.5678056469933725,6.5604685455565,6.585623678646932,0.5280230333173279,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,8.892185719711357,8.99003024003024,2.5125648508430607,5.187307533541356e-05,3.614976369594994e-05,7.930665938726933,7.281546256619111,7.603046699335072,2.3766836458422675,4.010347451873834,4.400557675328226,3.234087780426893,4.6727018196288785,4.390265547875128,3.806464839745784,4.898549809517797,6.690726817042607
2CXO J143205.5+575516,AGN,8.040682233832399,2.779015390992832,5.875000000000018,10.0,0.0,10.0,0.0,5.674200679735956,6.25,6.4594582799173486,1.0,5.8885735600055704e-09,0.010668601699721671,0.0019941205719705177,0.004262616249282709,0.02342790900402265,0.0035493651932789047,0.5381119245047358,0.5962758708184279,3.0880528427247387,5.876618742685327,2.2117363344051446,5.071372742605619,5.2061803371356525,4.052807269692614,3.95896072607946,3.3347427766032425,0.2791016002923955,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,6.988226357766807,7.0577395577395565,1.9998378728923483,4.520810777939965e-06,3.614976369594994e-05,8.242421724018698,6.261339175121358,6.106137223763385,3.4617598711481676,7.9036347514533425,7.799376367159183,4.457927843176554,6.016345938329392,5.051011632756873,3.914439964463889,5.5576603312917054,5.368922305764408
2CXO J022804.3+010657,AGN,2.0115508784623994,4.619237908260001,1.3062500000000057,2.6437500000000047,3.0625000000000067,10.0,0.0,1.5137718037559098,6.25,0.4554936959345588,0.0,7.911689690622776e-08,0.06798612652866831,0.06578769110532727,0.07857797154168877,0.03090931820690544,0.04028126440726336,7.608220865281199,8.039805547172495,5.370384729970738,8.360847597933336,5.9048231511254015,7.642436957505453,8.086907367414089,7.556214938105618,6.628798105879666,7.171247357293867,0.5745160781728142,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,7.465581086213445,6.662729162729162,1.92215196714224,5.187307533541356e-05,3.614976369594994e-05,8.244850573919804,7.537442828109528,7.941101907581072,2.1888365508258447,0.0,4.750105421362738,0.0,4.505694752347604,0.0,3.0444884849313256,3.770284776157101,6.500751879699247
2CXO J091227.9+531545,AGN,7.357559584400103,4.562257561393412,3.9187500000000175,5.787500000000005,3.2062499999999865,10.0,0.0,1.085522396742115,6.25,1.7003428951145134,0.0,2.9480844564122385e-08,0.020260755283125167,0.007536181215914078,0.012470067954229884,0.032396295864188414,0.002884534438274662,0.5381119245047358,0.5962758708184279,5.5111843904190945,3.891642958409849,6.391639871382639,7.737052120613765,8.217790210601077,3.3893550929574854,4.0648819290120235,7.699553676297863,0.5354314626228168,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,7.465581086213445,6.662729162729162,1.92215196714224,5.187307533541356e-05,3.614976369594994e-05,7.9895701281083555,7.402635919780973,4.784757047039582,2.0460309411217583,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,5.160401002506265
2CXO J003504.5-434106,AGN,0.9110787998590196,8.69898412160634,5.281250000000001,5.537500000000007,4.718749999999999,9.520938480138527,0.0034672297668255285,7.422301736369342,7.5,9.540928326650617,2.0,3.863664742583909e-08,0.014850108894922687,0.0045132932793961215,0.008954945614226701,0.023281241241922046,0.0077599599749724486,0.5381119245047358,0.5962758708184279,5.5111843904190945,3.891642958409849,6.391639871382639,7.737052120613765,8.217790210601077,9.168482544392418,8.030904068620321,7.998825463941742,0.5598694253137161,4.697899073822226e-05,0.00040825487804594177,0.0011414694781093635,7.465581086213445,6.662729162729162,2.894103977518375,2.583650156101001e-05,8.962239484777087e-05,9.182640982019443,8.513908152180447,8.848336698809891,2.3346896664369323,0.0,4.4235321473297455,0.0,4.90949338822383,4.11788770514254,3.0444884849313256,3.770284776157101,6.6030075187969945
2CXO J101108.3+002908,AGN,7.410540286232604,6.690767568749312,3.824999999999987,4.674999999999998,4.150000000000009,10.0,0.0,3.767962196992504,6.25,7.409290877142872,0.0,4.532761240079177e-07,0.0942229457892939,0.033917181681510145,0.09503806067577278,0.12721353613936726,0.0469295719573058,8.06692571904382,8.941581495841254,5.907085050574187,6.826702085605763,6.107946715663759,7.549702344222893,7.956707823360963,8.135982196671149,7.2535255145485875,7.655626027719051,0.5442463289306778,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,7.465581086213445,6.662729162729162,1.92215196714224,5.187307533541356e-05,3.614976369594994e-05,9.116564332415086,8.025873662648769,8.125975771661041,2.8679267595861817,0.0,5.222408798944946,0.0,4.655572234544528,0.0,3.0444884849313256,3.770284776157101,6.246616541353384
2CXO J033255.5-274751,AGN,1.960276414834988,6.2105914746721735,4.200000000000008,5.725000000000018,3.5125000000000024,9.99571767507484,0.0022428781696268345,6.6124992257261255,6.25,9.030023592684161,1.0,1.3733838816238973e-10,0.0007426333830109334,0.00019814366341943664,0.0006025651580587527,0.0009757474645294234,0.0011227329375134165,0.5381119245047358,0.5962758708184279,5.5111843904190945,3.891642958409849,6.391639871382639,0.28672508124562923,8.217790210601077,3.3893550929574854,4.0648819290120235,7.699553676297863,0.5354314626228168,5.762971784907493e-06,2.289096740889209e-05,0.00011480406842154856,7.465581086213445,6.662729162729162,0.9039937310851708,3.925833112915419e-06,5.885737233920811e-06,7.9895701281083555,7.402635919780973,4.784757047039582,2.0460309411217583,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,5.160401002506265
2CXO J104748.7+592328,AGN,7.865903263522742,4.1028345025964335,4.537499999999997,5.30625,4.23750000000002,10.0,0.0,3.6504072370142335,6.25,1.4880760164863316,0.0,9.250077852544947e-08,0.014802125526143562,0.005484008060352632,0.01258555909796461,0.02080666681976785,0.009685199036338906,8.655778371439482,8.710048843874524,5.849348444469838,8.503810765293013,6.4078456591639865,7.7878974865276245,8.236574724972101,8.017061523482777,7.054144426675526,7.694150810429881,0.5432609272092705,0.00014252362803597986,0.001700339733380806,0.00177649198152241,7.465581086213445,6.662729162729162,1.92215196714224,6.507104491107707e-05,0.00029878869026610927,8.569608896551143,7.873390568692452,8.255666526701013,2.2335284329153566,0.0,4.7058486333026845,0.0,4.4683945363859054,0.0,3.0444884849313256,3.770284776157101,6.4706766917293255
2CXO J122506.4+483434,AGN,8.791892011020883,3.7385609388869296,4.5624999999999964,5.468750000000003,4.106249999999978,10.0,0.0,1.3655702469881077,6.25,2.00469983699864,0.0,1.3848255920311769e-06,0.3243831713664903,0.14008894137079786,0.24688736228559344,0.4826663255130538,0.002884534438274662,7.972998993859072,8.297826534084027,5.866856576160372,8.485256477349495,6.418906752411576,7.931959356616892,8.414070992709409,7.866150493764199,6.801595048702984,7.185341789992952,0.550337903208468,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,7.465581086213445,6.662729162729162,1.92215196714224,5.187307533541356e-05,3.614976369594994e-05,7.9895701281083555,7.402635919780973,4.784757047039582,2.0460309411217583,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,6.753884711779448
2CXO J003335.3-433015,AGN,0.9046808255797414,8.728087893304975,0.0,0.0,0.0,9.807449312968943,0.0009142572091268073,4.723500877222438,7.5,7.489695582711297,0.0,1.4529862614700805e-07,0.007837530785917745,0.003911416490801485,0.004067827132340168,0.012372593831107016,0.004823624140370373,8.72103875377303,9.089574014520528,5.5111843904190945,3.891642958409849,6.391639871382639,7.737052120613765,8.217790210601077,3.3893550929574854,4.0648819290120235,7.699553676297863,0.5354314626228168,3.109595049880793e-05,0.0003966856229915405,0.0007612822580926741,7.465581086213445,6.662729162729162,3.0035397751837447,1.4543961409010321e-05,6.450509928514663e-05,9.416900179397857,8.730415746371262,8.847121745729972,2.8231539404161445,0.0,0.0,0.0,0.0,3.441521108046527,3.0444884849313256,3.770284776157101,5.160401002506265
2CXO J030044.3-003820,AGN,2.246668905375734,4.940618176828679,3.662500000000001,4.774999999999999,3.8874999999999735,10.0,0.0,2.3096616103721908,6.25,9.05946446765944,0.0,3.466975663458172e-10,0.02200519413214593,0.009312796977093715,0.018180562485947176,0.029120377510003563,0.002884534438274662,8.128725323526353,8.86896924239133,6.507393002460932,8.753500734242332,7.015862808145765,8.165974193371454,8.558694360297423,7.7282210579999076,6.84437890714241,7.3051444679351665,0.5868515160853391,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,7.465581086213445,6.662729162729162,1.92215196714224,5.187307533541356e-05,3.614976369594994e-05,7.9895701281083555,7.402635919780973,4.784757047039582,2.0460309411217583,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,6.352380952380952
2CXO J092014.0+453156,AGN,7.488172504470202,4.848508548020088,2.724999999999997,10.0,0.0,10.0,0.0,7.791324503776404,6.25,7.937794367937608,2.0,1.2907039990260837e-08,0.004581250729505196,0.003191528899180909,0.0016928416869722096,0.007139159895437526,0.003133845971401253,8.108854040176249,8.940735714464207,6.459614401327428,8.711000313995639,6.4168121267799725,7.7037898955707185,8.042244451300444,6.878158468171913,5.8447735155454925,5.867512332628611,0.4500598407590817,0.001056496215687167,0.012253618438481537,0.043678967601370106,7.465581086213445,6.662729162729162,1.92215196714224,0.0004662158327651389,0.0022124948754504398,9.211556385140756,8.218227761587706,8.107252227501261,3.3416661055403787,0.0,6.962419795346492,0.0,6.178730692478994,0.0,3.0444884849313256,3.770284776157101,6.9268170426065145
2CXO J123629.4+621513,AGN,8.056443624614857,3.498564447559561,3.506249999999984,5.137500000000001,3.3874999999999784,6.4449674856873,0.0005440729277957683,9.418791172623138,5.0,9.544036998281825,6.0,1.061020667730198e-09,0.0013245186558505232,0.0005696661846185299,0.0010978765001751043,0.0017144530971231668,0.0006379605119894888,0.5381119245047358,0.5962758708184279,5.5111843904190945,3.891642958409849,6.391639871382639,7.737052120613765,8.217790210601077,3.3893550929574854,4.0648819290120235,7.699553676297863,0.5354314626228168,1.039218503937652e-05,3.297962710964379e-05,9.035467753255032e-05,7.465581086213445,6.662729162729162,1.92215196714224,6.9509942188542615e-06,6.113905997190789e-06,7.9895701281083555,7.402635919780973,4.784757047039582,2.0460309411217583,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,5.160401002506265
2CXO J080907.5+441641,AGN,6.7845984600057765,4.881051464454157,3.5312500000000084,5.43125,3.1625000000000068,10.0,0.0,3.3920185407167085,6.25,8.324783323156401,0.0,4.2330180579820226e-07,0.3422135130403559,0.1611475786938557,0.2633311013221089,0.4362384508780921,0.2419465934252173,7.449077125906394,8.221638932085677,5.282319352286581,8.152332742949026,5.157188791915483,6.983363010760272,7.307014583260001,7.104177291483149,6.566491515919332,6.605355884425651,0.5369006070074605,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,8.570784276490695,8.667548667548665,2.4562932338953742,5.187307533541356e-05,3.614976369594994e-05,8.910197919604492,7.416720949063403,7.467162476583103,2.986210682143335,6.16455588783665,5.727024851231094,3.801638874337202,4.798765047241276,4.5101895890447485,3.813982095264135,4.892025004735746,5.673684210526317
2CXO J140708.9+341231,AGN,9.033921190923207,1.6972673020210802,1.9125000000000183,4.156249999999978,2.5187499999999807,10.0,0.0,7.665852849273458,6.25,8.891169157396806,2.0,2.0847485214698066e-07,0.02283516732979642,0.015090228432219537,0.01628930210900944,0.02377554712526457,0.020197835349843502,0.5381119245047358,0.5962758708184279,5.5941949728399525,8.478167787853124,6.390739549839227,7.82113620469785,8.280144362471558,8.547915990541984,7.396207605557747,7.924359877848247,0.5679497194292553,0.00011276772886396936,0.001165373029542527,0.0017316035907695858,7.465581086213445,6.662729162729162,1.92215196714224,4.775693998980109e-05,0.0002204870221078151,8.488409110641625,7.845903466189916,8.170130538129952,2.364650999870838,0.0,4.2042179563344,0.0,4.269463701137483,0.0,3.0444884849313256,3.770284776157101,6.7929824561403525
2CXO J160421.7+432354,AGN,7.681610263842348,1.9091015788060173,5.35625,5.943750000000023,4.406249999999973,7.3193756498168,0.0048320651624394854,0.8629843982820886,6.25,7.656824531971207,0.0,1.4586384493140525e-08,0.1007667646329396,0.026979979535800773,0.07167525762271766,0.16654231892132773,0.054131905136518436,8.212885542795684,8.893794848038073,5.911300295067116,8.507807073465463,6.47331189710611,7.957875683903082,8.367892394880641,3.3893550929574854,4.0648819290120235,7.699553676297863,0.5943764019579036,7.723853056146882e-05,0.0011053257993026953,0.0018454753998763968,7.465581086213445,6.662729162729162,1.92215196714224,3.402947993856423e-05,0.00019149317672043976,8.681334945309532,8.001095836323042,8.334514288341984,2.3423157380242063,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,5.160401002506265
2CXO J120534.5-074121,AGN,7.981947852305759,7.8781768929007185,2.5562499999999932,4.193749999999989,3.2374999999999803,4.187982567631801,0.0014325368931567349,2.481642455605655,0.0,2.65465012847102,0.0,2.5254600220216455e-08,0.013225628467849748,0.008178298820614065,0.013068184250740213,0.011124564517500057,0.01155503553478834,0.5381119245047358,0.5962758708184279,5.5111843904190945,3.891642958409849,6.391639871382639,7.737052120613765,8.217790210601077,8.213176317863601,7.290078713991981,7.256048860700022,0.5292861391602226,0.00017503223423052892,0.0023934592931306184,0.002306556192192066,7.465581086213445,6.662729162729162,1.92215196714224,5.187307533541356e-05,3.614976369594994e-05,8.443942473990607,7.780752564467442,8.129287965176532,2.310542313287429,0.0,4.265032511668065,0.0,4.696139615095405,0.0,3.0444884849313256,3.770284776157101,6.325313283208021
2CXO J160149.9+401715,AGN,7.723063271314835,1.7810261388555475,5.4250000000000025,6.625000000000008,3.737499999999975,10.0,0.0,7.352853630638025,6.25,8.867430368740843,2.0,3.703377628238243e-06,0.025528494681702874,0.007354175584041345,0.01599559490177673,0.04387258303939627,0.010973308624159626,8.16530201575131,8.30035426706316,5.324471797215841,8.330351960569757,5.8959485530546605,7.556049199884818,7.912802748104881,8.185126802355231,7.048952210845499,6.930702372562838,0.561804395966661,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,9.336783137105963,9.142411642411641,2.553569498486814,5.187307533541356e-05,3.614976369594994e-05,8.103499987884534,7.432795219407778,7.8187377784622845,2.2298604093909944,3.4979262045965966,4.077310772393913,3.2217822467868897,4.574773610069832,4.4976302410052815,4.6456639103396515,4.929384774052328,6.846616541353384
2CXO J082211.2+212229,AGN,6.6196670349493925,5.620683277383795,3.1687499999999744,4.612499999999996,3.5625000000000018,10.0,0.0,2.12908124356921,6.25,1.3686443178813863,0.0,1.6983231821019617e-07,0.010954067973400369,0.004981919818434346,0.01222645150045741,0.018036557702815773,0.010640893246657505,7.762169101065122,8.683349063585457,5.748462426896412,8.460565001855429,5.998456591639871,7.5834464601587905,8.013160755438959,7.497334136955818,6.318095910610813,6.623913554146112,0.5403853458222551,2.073167683209241e-05,0.00012423329156268815,0.012073596111745421,7.465581086213445,6.662729162729162,1.92215196714224,0.00021223244110653446,0.0013226991373739526,8.341992009654273,7.688940320763867,7.940245056435219,2.530647331397663,0.0,5.237579311795479,0.0,5.068305952044598,0.0,3.0444884849313256,3.770284776157101,7.123308270676688
2CXO J100441.0+410943,AGN,7.9664530507681,4.988614036199418,3.4249999999999905,5.025,3.400000000000016,10.0,0.01858793977936327,5.968693634925027,10.0,8.730802487931276,1.0,1.935891972612746e-07,0.029188791226179938,0.013092830511518471,0.02545100496296166,0.03688344971622834,0.011998256038124502,7.572043159976407,7.990413836983329,5.197507233837627,8.306421686632348,5.807717041800642,7.559916080464027,7.9680257417419185,7.7061987111131725,6.556522461525682,6.721634954193092,0.5285336505729663,0.0005391118494966531,0.005311754682786435,0.000437847633213571,7.465581086213445,6.662729162729162,1.92215196714224,0.0002490525248792579,0.0010740594080482836,8.346627287304369,7.6451945547908124,8.042603855919932,2.2017999732233156,0.0,4.9712822661914675,0.0,4.950481721675813,0.0,3.0444884849313256,3.770284776157101,6.999498746867162
2CXO J120919.6+295729,AGN,9.48359741515694,5.3733938847696034,0.0,8.131250000000014,0.0,9.166609305618527,0.0009347371225329467,4.571141399316922,7.5,1.3407388065187826,0.0,3.466975663458172e-10,0.00030841171200553355,0.0005664122102703883,0.0006628598587743131,0.0006198370785046617,0.002884534438274662,0.5381119245047358,0.5962758708184279,9.554991449991636,8.860544703147248,6.243086816720258,7.537263290687946,7.836737060281481,7.1088135750382495,6.855801781968474,7.518910030537939,0.5778216530382623,0.0002201095329488605,0.00034442718397902284,0.0006653398556569286,8.976452715533611,8.801738801738802,2.5419503891050583,0.00017371323025615898,0.00016730710941760383,7.9895701281083555,7.402635919780973,4.784757047039582,2.0460309411217583,0.0,0.0,0.0,0.0,0.0,4.593726508576505,5.427374713224306,4.9854636591478725
2CXO J123612.9+621929,AGN,8.052310876802082,3.4997471162367644,3.356249999999985,5.074999999999998,3.3625000000000043,6.507428540886799,0.000774889790976055,6.656762200026585,5.0,7.862301228826108,1.0,3.54940198117889e-10,0.00030094995045480916,0.00016547376096409268,0.00032763826744236767,0.00030360311338310255,0.007676856130596917,0.5381119245047358,0.5962758708184279,5.5111843904190945,3.891642958409849,6.391639871382639,7.737052120613765,8.217790210601077,3.3893550929574854,4.0648819290120235,7.699553676297863,0.5354314626228168,1.1492263209777205e-05,3.7572631723676285e-05,0.000437847633213571,7.465581086213445,6.662729162729162,1.92215196714224,7.742785218735395e-06,1.2283917605052733e-05,7.9895701281083555,7.402635919780973,4.784757047039582,2.0460309411217583,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,5.160401002506265
