recno|MIRES|RAJ2000|DEJ2000
     340|G206.5145-16.3537|085.42247|-01.88767
     341|G206.5239-16.3584|085.42251|-01.89784
     342|G206.5374-16.3652|085.42252|-01.91242
     343|G206.4240-16.3079|085.42255|-01.78945
     344|G206.3706-16.2808|085.42260|-01.73151
     345|G206.8605-16.5275|085.42293|-02.26223
     346|G206.5866-16.3889|085.42355|-01.96523
     347|G206.3262-16.2572|085.42360|-01.68273
     348|G206.5368-16.3637|085.42360|-01.91126
     349|G206.8420-16.5174|085.42368|-02.24186
     350|G206.6009-16.3951|085.42447|-01.98025
     351|G206.5333-16.3604|085.42493|-01.90670
     352|G206.4368-16.3116|085.42497|-01.80206
     353|G207.1987-16.6944|085.42530|-02.62675
     354|G206.5124-16.3492|085.42555|-01.88375
     355|G206.5455-16.3655|085.42589|-01.91945
     356|G206.8724-16.5301|085.42597|-02.27350
     357|G206.8908-16.5392|085.42606|-02.29340
     358|G206.5735-16.3790|085.42643|-01.94948
     359|G206.8873-16.5368|085.42659|-02.28931
     360|G206.5749-16.3793|085.42685|-01.95087
     361|G206.5441-16.3636|085.42693|-01.91742
     362|G206.4363-16.3090|085.42710|-01.80039
     363|G206.5532-16.3678|085.42730|-01.92704
     364|G206.5290-16.3556|085.42735|-01.90084
     365|G206.5654-16.3723|085.42877|-01.93950
     366|G206.5395-16.3586|085.42934|-01.91117
     367|G206.4354-16.3059|085.42943|-01.79814
     368|G206.5095-16.3423|085.43034|-01.87812
     369|G206.5222-16.3483|085.43068|-01.89170
     370|G205.9294-16.0474|085.43093|-01.24773
     371|G206.5332-16.3534|085.43110|-01.90336
     372|G206.5977-16.3852|085.43172|-01.97292
     373|G206.8624-16.5183|085.43193|-02.25956
     374|G206.4196-16.2943|085.43256|-01.77934
     375|G206.4951-16.3321|085.43289|-01.86106
     376|G206.8244-16.4981|085.43293|-02.21795
     377|G206.5288-16.3490|085.43305|-01.89759
     378|G206.6079-16.3887|085.43322|-01.98322
     379|G206.6043-16.3868|085.43331|-01.97928
     380|G206.5164-16.3424|085.43334|-01.88392
     381|G206.3798-16.2731|085.43351|-01.73567
     382|G206.4320-16.2992|085.43385|-01.79217
     383|G206.5257-16.3464|085.43397|-01.89372
     384|G206.3877-16.2765|085.43405|-01.74398
     385|G206.5521-16.3595|085.43414|-01.92231
     386|G206.5868-16.3769|085.43422|-01.95981
     387|G206.8720-16.5205|085.43431|-02.26875
     388|G206.8743-16.5216|085.43434|-02.27123
     389|G206.4405-16.3021|085.43510|-01.80072
     390|G206.5533-16.3589|085.43522|-01.92295
     391|G206.8725-16.5190|085.43585|-02.26850
     392|G206.8700-16.5168|085.43663|-02.26537
     393|G206.5393-16.3500|085.43684|-01.90695
     394|G206.5421-16.3514|085.43688|-01.90997
     395|G206.6686-16.4146|085.43743|-02.04678
     396|G206.5456-16.3518|085.43810|-01.91312
     397|G206.5499-16.3531|085.43889|-01.91739
     398|G206.4281-16.2912|085.43914|-01.78509
     399|G206.5024-16.3288|085.43914|-01.86576
     400|G206.4501-16.3021|085.43935|-01.80889
     401|G206.6478-16.4017|085.43951|-02.02314
     402|G206.4943-16.3234|085.44022|-01.85634
     403|G206.8706-16.5128|085.44043|-02.26401
     404|G206.5473-16.3499|085.44052|-01.91376
     405|G206.5074-16.3295|085.44076|-01.87031
