angDist,col1,name,significance,var_flag,streak_src_flag,pileup_flag,ra,dec,conf_flag,class,prob,var_inter_index_b,var_intra_index_b,col1,recno,MIRES,RAJ2000,DEJ2000
0.752000,61720,2CXO J054147.1-020019,5.0857142857146505,0,0,0,85.44650363696462,-2.005428792127473,0,STAR,0.9999661468665441,,0.0,420,421,G206.6346-16.3872,85.44651,-2.00522
0.265211,61721,2CXO J054147.2-015820,3.111111111111111,0,0,0,85.44687523479234,-1.9723293106571445,0,STAR,0.9997964662177576,,10.0,422,423,G206.6044-16.3715,85.44693000000001,-1.97228
0.261725,61723,2CXO J054147.9-015358,3.294117647059009,0,0,0,85.44986153282952,-1.89964455351874,0,STAR,0.9998006084084029,,0.0,427,428,G206.5389-16.3350,85.44993000000001,-1.89962
0.572565,61728,2CXO J054149.8-015256,3.8787878787877728,0,0,0,85.45753360866762,-1.882292355771161,0,STAR,0.9997442215083334,,0.0,434,435,G206.5266-16.3201,85.45768000000001,-1.8822299999999998
0.283870,61729,2CXO J054149.8-015947,3.0857142857143094,0,0,0,85.45784636426288,-1.9966238023679104,0,STAR,0.9998954035408341,,5.0,436,437,G206.6321-16.3732,85.4578,-1.99656
0.411868,61730,2CXO J054150.1-015745,10.680013058057932,0,0,0,85.45896009244268,-1.9625529625129248,0,STAR,0.9994413705771598,,0.0,440,441,G206.6012-16.3562,85.45900999999999,-1.96245
0.592718,61733,2CXO J054150.8-015313,3.874999999999848,0,0,0,85.4619501815614,-1.887007061110272,0,STAR,0.9999628265334648,,10.0,445,446,G206.5331-16.3183,85.46209,-1.8869200000000002
0.672995,61738,2CXO J054152.1-020121,11.380627434526547,0,0,0,85.46744706113195,-2.022637640822069,0,STAR,0.9999983459868024,,0.0,457,458,G206.6608-16.3766,85.4676,-2.0225299999999997
0.247569,61742,2CXO J054153.2-015744,6.446848143411522,0,0,0,85.47167672772946,-1.9622735270614464,0,STAR,0.9999801213880622,,10.0,461,462,G206.6072-16.3449,85.47173000000001,-1.96223
0.446312,61745,2CXO J054153.8-015516,14.882332873845556,0,0,0,85.47448010504598,-1.9212275032049424,0,STAR,0.99986997156547,,0.0,465,466,G206.5707-16.3232,85.47459,-1.92117
0.249804,71540,2CXO J085918.2-434846,3.5882352941178373,0,0,0,134.82609063442624,-43.812931942385646,0,YSO,0.9796812607200338,,0.0,4913,4914,G265.1717+01.3939,134.82616000000002,-43.812979999999996
0.358563,61756,2CXO J054159.7-014736,4.7222222222221735,0,0,0,85.49897516948015,-1.7935022606930453,0,STAR,0.9999836730369019,,10.0,495,496,G206.4648-16.2421,85.49906,-1.79345
0.925460,61758,2CXO J054203.6-015113,1.8974358974358607,0,0,0,85.51537843199549,-1.8536705567762195,0,STAR,0.999874595153332,,,512,513,G206.5282-16.2555,85.5156,-1.8535400000000002
0.447692,71545,2CXO J085919.3-434240,13.111978965232732,0,0,0,134.83047294372324,-43.71114273713018,0,STAR,0.9843770824486348,,0.0,4921,4922,G265.0970+01.4630,134.83056000000002,-43.71125
0.078924,61760,2CXO J054204.7-015738,1.948717948717945,0,0,0,85.51959319911856,-1.9607891569142224,0,STAR,0.9999480804699344,,,514,515,G206.6291-16.3019,85.5196,-1.96081
0.429868,71547,2CXO J085919.8-434522,3.5882352941175286,0,0,0,134.83261267692933,-43.756260607799454,0,STAR,0.5590987234032421,,0.0,4923,4924,G265.1320+01.4346,134.83261000000002,-43.75638
0.366368,61763,2CXO J054205.9-015252,10.371040727524962,0,0,0,85.52483279338446,-1.8812302981980689,0,STAR,0.999974511346402,,0.0,516,517,G206.5583-16.2601,85.52493,-1.8812
0.510280,61765,2CXO J054207.4-015336,4.193548387096997,0,0,0,85.53120902579623,-1.8934529298926661,0,STAR,0.9999768827950396,,0.0,523,524,G206.5726-16.2604,85.53109,-1.89353
0.264081,71557,2CXO J085921.6-434531,2.7027027027027146,0,0,0,134.84033329153462,-43.758641001455686,0,STAR,0.9764975404562204,,0.0,4934,4935,G265.1374+01.4372,134.84024,-43.75867
0.187687,71570,2CXO J085923.9-434427,4.777777777777762,0,0,0,134.84977715755466,-43.741038047350905,0,YSO,0.9492799031647724,,5.0,4949,4950,G265.1286+01.4540,134.84982,-43.74108
0.312486,71571,2CXO J085923.9-434848,2.0512820512820618,0,0,0,134.84970165946459,-43.813404432330216,0,YSO,0.9505721393333352,,5.0,4950,4951,G265.1833+01.4065,134.84982,-43.81342
0.064133,71572,2CXO J085924.1-434526,4.315789473684241,0,0,0,134.85072467980214,-43.75722260474204,0,STAR,0.6148785408714211,,0.0,4952,4953,G265.1413+01.4439,134.85073,-43.75724
0.441011,1085,2CXO J172544.4-342601,3.2571428571425485,0,0,0,261.43516920300016,-34.433642208640556,0,YSO,0.987794930823783,,0.0,13685,13686,G353.0913+00.5894,261.43521,-34.43376
0.237905,71580,2CXO J085924.7-434503,3.5882352941177915,0,0,0,134.85300983622767,-43.75088750885432,0,YSO,0.973315214043252,,0.0,4954,4955,G265.1375+01.4492,134.85291999999998,-43.7509
0.463770,141245,2CXO J172041.4-355017,2.0,0,0,0,260.17271293790867,-35.838185272254954,0,YSO,0.9986733458282784,0.0,0.0,12530,12531,G351.3492+00.6472,260.17275,-35.83806
0.350799,71581,2CXO J085925.0-434545,3.8181818181818463,0,0,0,134.85456581192258,-43.76269128346932,0,YSO,0.9214466077197684,,5.0,4956,4957,G265.1472+01.4423,134.85451,-43.76278
0.243778,71582,2CXO J085925.1-434447,9.53213928320314,0,0,0,134.85466775277962,-43.74654377828102,0,YSO,0.9155035879178592,,0.0,4958,4959,G265.1351+01.4530,134.85472,-43.7466
0.057342,71584,2CXO J085925.3-434455,7.820663181195464,0,0,0,134.85559155336279,-43.748764111316525,0,STAR,0.6247605653319958,,0.0,4959,4960,G265.1372+01.4521,134.85558999999998,-43.74878
