id,ra,dec,pos_err
lid_406,150.492963,2.792976,0.152
lid_407,150.497548,2.916786,0.756
lid_4077,149.920635,2.662707,1.271
lid_4078,149.953147,2.71894,0.65
lid_408,150.500158,2.892805,0.303
lid_4086,150.814568,2.433407,2.878
lid_409,150.511478,2.850691,0.174
lid_4090,150.789385,2.622295,0.673
lid_410,150.514404,2.810045,0.194
lid_4103,150.479692,2.627938,0.472
lid_4109,150.234443,2.63583,1.384
lid_411,150.530439,2.843878,0.159
lid_4112,150.394355,2.717842,0.341
lid_412,150.538576,2.855335,0.204
lid_4124,149.979802,2.751354,1.416
lid_4129,150.08394,2.724185,0.69
lid_413,150.544676,2.89474,1.143
lid_4138,150.196371,2.923116,1.583
lid_414,150.577033,2.767717,0.448
lid_4141,149.930596,2.957826,1.245
lid_4148,150.058298,2.938208,1.241
lid_415,150.298077,2.87882,0.771
lid_4150,150.431451,2.816424,0.875
lid_416,150.312656,2.961889,0.746
lid_417,150.313783,2.803569,0.186
lid_4170,150.343535,2.748543,0.443
lid_418,150.326471,2.855596,0.406
lid_4182,150.427868,2.814879,0.393
lid_4188,150.501717,2.840888,0.627
lid_419,150.349631,2.943744,0.601
lid_420,150.350404,2.826868,0.181
lid_421,150.361844,2.779134,0.413
lid_4213,150.508452,2.667152,0.432
lid_422,150.366571,2.789342,0.283
lid_423,150.367309,2.872722,0.149
lid_4232,150.657263,2.742184,0.31
lid_4235,150.680326,2.820795,0.818
lid_424,150.374561,2.952495,0.822
lid_4240,150.713297,2.713649,1.137
lid_2883,150.725179,1.743532,0.492
lid_2885,150.754385,1.698728,1.137
lid_2886,150.767215,1.60374,2.65
lid_2887,150.817685,1.706564,1.759
lid_2888,150.819451,1.659677,2.547
lid_2889,150.753266,1.795526,0.63
lid_289,150.49066,2.634513,0.119
lid_2890,150.792985,1.704413,1.532
lid_2891,150.807603,1.870674,0.639
lid_2892,150.865429,1.816136,1.533
lid_2893,150.652711,1.957892,0.646
lid_2894,150.736496,2.031358,0.584
lid_2895,150.813894,1.968071,0.225
lid_2896,150.817574,1.985607,0.3
lid_2897,150.826881,1.868484,1.084
lid_2898,150.83585,1.905509,0.82
lid_2899,150.843844,1.881325,1.612
lid_290,150.491101,2.700155,0.1
lid_2900,150.858383,2.07922,1.459
lid_2901,150.860804,1.91382,1.231
lid_2902,150.892659,1.892991,2.07
lid_291,150.497688,2.659722,0.1
lid_2913,150.593763,2.456998,1.26
lid_2914,150.656283,2.370227,0.336
lid_2915,150.698294,2.445017,0.183
lid_2917,150.597099,2.433114,1.227
lid_2918,150.672094,2.445032,0.349
lid_2919,150.682899,2.395034,0.467
cid_1770,150.601767,2.288466,0.428
cid_1771,150.608582,2.343228,0.293
cid_1779,150.29769,2.375366,1.24
cid_178,149.585194,2.051086,0.266
cid_1781,150.30805,2.402437,0.893
cid_1786,150.32964,2.350918,1.102
cid_1787,150.33355,2.57882,0.339
cid_179,149.586558,2.037095,0.1
cid_1790,150.342219,2.466093,0.575
cid_1798,150.368165,2.531181,0.392
cid_180,149.594774,2.053822,0.686
cid_1800,150.375361,2.571343,0.402
cid_1801,150.376492,2.459647,0.313
cid_1803,150.37719,2.412129,0.349
cid_1804,150.37752,2.424521,0.133
cid_181,149.595847,2.040662,0.274
cid_1810,150.397418,2.50639,0.665
cid_1811,150.401811,2.445182,0.138
cid_1818,150.41417,2.364696,0.758
cid_182,149.597866,2.071122,0.502
cid_1827,150.435932,2.446834,0.446
cid_183,149.605133,2.052157,0.485
cid_1831,150.455481,2.431071,0.557
cid_1836,150.479131,2.404511,0.74
cid_184,149.60731,2.017457,0.375
cid_185,149.620378,2.039422,0.453
cid_186,149.628114,2.040183,0.433
cid_1868,150.256873,2.595091,0.449
cid_187,149.639396,2.003159,0.101
cid_1870,150.265763,2.514294,0.476
cid_1871,150.267539,2.55204,0.375
cid_1873,150.27068,2.417152,0.514
cid_1874,150.271569,2.490749,0.258
cid_1877,150.283709,2.49453,0.464
cid_188,149.644831,2.052948,0.489
cid_1881,150.317922,2.535071,0.511
cid_189,149.651719,2.058422,0.499
cid_190,149.656361,2.076289,0.128
cid_191,149.656478,2.051122,0.262
cid_1913,149.97695,2.486527,0.768
cid_1917,149.99791,2.578149,0.195
cid_192,149.66361,2.085172,0.1
cid_1925,150.025143,2.633567,0.459
cid_193,149.674095,1.888399,0.134
cid_1930,150.042242,2.629243,0.325
cid_1932,150.049038,2.586646,0.148
cid_194,149.674994,1.911985,0.204
cid_195,149.68391,1.933119,0.129
cid_1956,149.855706,2.582273,0.28
cid_196,149.691679,1.818125,0.339
cid_1961,149.88407,2.61012,0.428
cid_197,149.703029,1.833328,0.242
