recno|RAJ2000|DEJ2000
     590|083.80920|-05.40229
     591|083.80922|-05.47879
     592|083.80926|-05.24106
     593|083.80927|-05.33450
     594|083.80929|-05.32664
     595|083.80930|-05.43691
     596|083.80952|-05.40687
     597|083.80956|-05.38449
     598|083.80963|-05.22799
     599|083.80963|-05.36789
     600|083.80966|-05.38563
     601|083.80972|-05.38815
     602|083.80983|-05.37575
     603|083.80987|-05.37666
     604|083.80987|-05.38168
     605|083.81000|-05.38213
     606|083.81000|-05.40285
     607|083.81001|-05.39266
     608|083.81002|-05.39749
     609|083.81003|-05.38972
     610|083.81005|-05.37510
     611|083.81012|-05.55522
     612|083.81020|-05.30686
     613|083.81025|-05.54627
     614|083.81026|-05.41727
     615|083.81032|-05.29043
     616|083.81043|-05.37740
     617|083.81048|-05.48427
     618|083.81051|-05.44182
     619|083.81055|-05.36850
     620|083.81061|-05.38776
     621|083.81067|-05.54144
     622|083.81078|-05.40221
     623|083.81079|-05.49867
     624|083.81088|-05.23361
     625|083.81104|-05.31203
     626|083.81107|-05.39131
     627|083.81109|-05.34511
     628|083.81110|-05.37603
     629|083.81113|-05.36976
     630|083.81113|-05.38383
     631|083.81120|-05.36376
     632|083.81125|-05.33801
     633|083.81125|-05.38037
     634|083.81132|-05.27957
     635|083.81132|-05.40347
     636|083.81133|-05.35172
     637|083.81137|-05.38968
     638|083.81138|-05.37492
     639|083.81150|-05.34135
     640|083.81151|-05.57133
     641|083.81152|-05.37728
     642|083.81175|-05.40189
     643|083.81178|-05.37307
     644|083.81179|-05.39620
     645|083.81183|-05.38776
     646|083.81197|-05.37543
     647|083.81200|-05.38472
     648|083.81208|-05.37371
     649|083.81208|-05.40326
     650|083.81218|-05.37754
     651|083.81221|-05.35017
     652|083.81222|-05.40357
     653|083.81226|-05.39137
     654|083.81242|-05.40479
     655|083.81245|-05.41365
     656|083.81268|-05.39844
     657|083.81271|-05.27761
     658|083.81290|-05.37540
     659|083.81306|-05.38465
     660|083.81317|-05.37149
     661|083.81319|-05.39627
     662|083.81329|-05.50733
     663|083.81329|-05.37487
     664|083.81333|-05.38175
     665|083.81338|-05.37334
     666|083.81339|-05.33750
     667|083.81341|-05.38857
     668|083.81348|-05.46060
     669|083.81354|-05.26331
     670|083.81361|-05.39712
     671|083.81361|-05.38245
     672|083.81364|-05.36543
     673|083.81374|-05.34141
     674|083.81387|-05.35793
     675|083.81390|-05.22725
     676|083.81393|-05.37360
     677|083.81396|-05.37097
     678|083.81399|-05.31723
     679|083.81411|-05.39259
     680|083.81413|-05.37371
     681|083.81419|-05.46315
     682|083.81421|-05.34598
     683|083.81421|-05.35386
     684|083.81422|-05.50640
     685|083.81427|-05.32621
     686|083.81428|-05.43323
     687|083.81435|-05.34452
     688|083.81437|-05.39595
     689|083.81443|-05.41863
     690|083.81445|-05.29423
     691|083.81452|-05.45631
     692|083.81455|-05.35424
     693|083.81455|-05.38015
     694|083.81460|-05.58654
     695|083.81466|-05.32871
     696|083.81468|-05.39373
     697|083.81477|-05.37956
     698|083.81483|-05.42060
     699|083.81494|-05.37186
     700|083.81501|-05.35746
     701|083.81508|-05.57919
     702|083.81509|-05.40083
     703|083.81513|-05.32870
     704|083.81517|-05.38234
     705|083.81521|-05.30257
     706|083.81528|-05.41954
     707|083.81533|-05.29650
     708|083.81533|-05.42589
     709|083.81535|-05.39417
     710|083.81543|-05.47100
     711|083.81552|-05.44122
     712|083.81557|-05.38958
     713|083.81570|-05.36104
     714|083.81570|-05.40321
     715|083.81571|-05.54978
     716|083.81571|-05.39395
     717|083.81574|-05.38607
     718|083.81576|-05.40686
     719|083.81580|-05.32981
     720|083.81590|-05.38664
     721|083.81590|-05.55336
     722|083.81596|-05.38727
     723|083.81602|-05.35588
     724|083.81602|-05.37940
     725|083.81602|-05.38954
     726|083.81602|-05.50151
     727|083.81605|-05.39042
     728|083.81607|-05.41590
     729|083.81618|-05.38387
     730|083.81618|-05.34455
     731|083.81619|-05.37588
     732|083.81623|-05.48136
     733|083.81629|-05.39384
     734|083.81645|-05.37251
     735|083.81651|-05.39717
     736|083.81653|-05.24975
     737|083.81658|-05.43533
     738|083.81659|-05.28266
     739|083.81660|-05.36682
     740|083.81669|-05.36473
     741|083.81670|-05.35272
     742|083.81670|-05.36304
     743|083.81672|-05.39803
     744|083.81683|-05.43086
     745|083.81687|-05.32907
