id_x,ra,dec,star_flag,spec_type,phot_type
cid_2544,149.84176,2.367148,0,-99,3
cid_255,150.10164,1.848331,0,1,1
cid_2550,149.87453,2.361489,0,-9,3
cid_256,150.1124,1.904457,0,2,3
cid_2564,150.306845,2.05389,0,1,1
cid_257,150.12211,1.913322,0,-9,2
cid_2574,150.35271,2.034301,0,-9,3
cid_258,150.12453,1.809789,0,-9,1
cid_2584,150.387357,1.952147,0,2,3
cid_2587,150.395608,2.057667,0,2,3
cid_259,150.131808,1.79935,0,1,1
cid_2591,150.402973,2.047758,0,2,1
cid_2598,150.42113,1.984888,0,-99,3
cid_26,150.2362,2.289173,0,1,1
cid_260,150.1391,1.87704,0,1,1
lid_772,149.439778,2.715793,0,-9,3
lid_2197,149.905757,3.029808,0,-9,-99
lid_2198,149.939289,3.023466,0,-9,-99
lid_2199,149.712691,2.743716,1,0,5
lid_2200,149.735631,2.757843,0,1,1
lid_2201,149.744922,2.891373,0,2,3
lid_2203,149.71607,2.816699,0,-9,3
lid_2204,149.75026,2.663961,100,-9,-99
lid_2205,149.804091,2.611039,1,0,5
lid_2207,149.656412,2.480987,0,-9,2
lid_2209,149.758283,2.579448,0,-1,3
lid_2210,149.77255,2.555722,0,-1,3
lid_2211,149.64422,2.359311,0,-9,3
lid_2212,149.64858,2.378954,0,-9,3
lid_2214,149.676803,2.353466,0,2,2
lid_2215,149.683297,2.384144,0,2,3
lid_2218,149.777181,2.444059,0,2,2
lid_2219,149.499453,2.276213,0,1,1
lid_2221,149.550161,2.242634,0,-9,3
lid_2224,149.596748,2.250608,0,-9,3
lid_2226,149.602394,2.232436,0,2,2
lid_2228,149.629329,2.3293,0,1,3
lid_2229,149.641076,2.354504,0,1,1
lid_223,150.058526,2.7304,0,-9,1
lid_2230,149.645915,2.298493,0,-9,-99
lid_2231,149.651167,2.290342,0,2,3
lid_2236,149.512026,2.185229,1,0,5
lid_2238,149.538144,2.192412,0,-9,3
lid_2239,149.547924,2.077952,0,2,3
lid_2240,149.549922,2.125425,0,-9,3
lid_2241,149.567341,2.219446,0,-9,3
lid_2242,149.570842,2.092464,10,-9,5
lid_2243,149.572208,2.096999,0,-9,1
lid_2245,149.618983,2.108375,0,2,3
lid_2246,149.644666,2.169068,0,-9,3
lid_2247,149.661779,2.153662,0,-9,3
lid_2249,149.494802,2.046403,0,-9,3
lid_2250,149.494791,2.084301,10,-9,5
lid_2251,149.500343,2.087275,0,-9,3
lid_2258,149.551032,2.781008,0,-9,3
lid_2260,149.595347,2.789599,0,-9,3
lid_2261,149.64798,2.716674,0,-9,3
lid_2262,149.64813,2.731318,0,-9,3
lid_2263,149.669208,2.824405,0,-9,-99
lid_2265,149.398835,2.466084,0,-9,2
lid_2266,149.472643,2.587465,0,-9,1
cid_1075,149.87844,2.031717,0,2,3
cid_1076,149.88897,2.022898,0,-9,-99
cid_1077,150.02312,1.984441,0,-9,3
cid_1078,149.94016,2.14025,0,2,3
cid_1079,149.95997,2.032477,0,1,1
cid_108,150.05858,2.477451,0,1,1
cid_1080,149.99865,2.077006,0,-9,2
cid_1081,150.04273,2.103733,0,2,1
cid_1082,150.05919,2.112464,0,-99,3
cid_1083,150.02271,2.026146,0,2,3
cid_1084,149.99862,1.974561,0,-9,3
cid_1085,150.21624,1.98877,0,1,1
cid_1086,150.11097,1.97312,0,1,3
cid_1087,150.13973,1.998023,0,-9,3
cid_1088,150.14875,2.060636,0,2,3
cid_1089,150.03542,2.046383,0,2,3
cid_109,150.05913,2.505388,0,-9,1
cid_1090,150.09838,2.063942,0,2,3
cid_1091,150.10599,2.014704,0,-9,3
cid_1092,150.09926,2.018364,0,2,3
cid_1093,150.11832,1.990848,0,-9,3
cid_1094,149.99097,2.003739,0,-9,3
cid_1095,150.09804,2.008304,0,-99,3
cid_1096,150.11562,1.951608,0,-9,3
cid_1097,150.14953,1.965299,0,1,1
cid_10972,150.227005,2.23248,0,-9,3
cid_1098,150.3239,2.004002,0,2,3
cid_1099,150.31649,1.887004,0,-9,1
cid_110,150.06217,2.455058,0,2,1
cid_1100,150.27442,1.988738,0,2,3
cid_1101,150.26488,1.987,0,-99,2
cid_1102,150.1766,1.946597,0,-99,2
cid_1103,150.22996,1.993873,1,0,5
cid_1104,150.23057,1.998824,0,1,3
cid_1105,150.2325,1.942658,0,2,3
cid_1106,150.27772,1.86987,0,-99,3
cid_1107,150.29606,1.893006,0,-9,3
cid_1108,150.32311,1.9714,0,1,3
cid_1109,150.34466,1.992617,0,1,1
cid_111,150.06414,2.41779,1,0,3
cid_11100,150.244003,2.194416,0,-9,-99
lid_2646,149.913221,1.714395,100,-9,-99
lid_3857,150.795487,2.148749,0,-9,3
lid_386,150.066988,2.919936,0,-9,1
lid_3860,150.68776,2.28589,0,-9,3
lid_3862,150.750072,2.275077,0,-9,3
lid_3863,150.759564,2.205789,0,-9,3
lid_3864,150.782104,2.254278,0,2,2
lid_3867,150.612837,1.75904,0,-9,3
