|        id_x|         ra|        dec| pos_err|
|        char|     double|     double|  double|
|            |           |           |  arcsec|
|        null|       null|       null|    null|
     lid_2205  149.804091    2.611039    0.692 
     lid_2207  149.656412    2.480987    1.417 
     lid_2209  149.758283    2.579448    0.720 
     lid_2210  149.772550    2.555722    0.584 
     lid_2211  149.644220    2.359311    0.380 
     lid_2212  149.648580    2.378954    0.396 
     lid_2214  149.676803    2.353466    0.602 
     lid_2215  149.683297    2.384144    0.487 
     lid_2218  149.777181    2.444059    0.883 
     lid_2219  149.499453    2.276213    0.237 
     lid_2221  149.550161    2.242634    1.063 
     lid_2224  149.596748    2.250608    0.400 
     lid_2226  149.602394    2.232436    0.369 
     lid_2228  149.629329    2.329300    0.508 
     lid_2229  149.641076    2.354504    0.494 
      lid_223  150.058526    2.730400    0.383 
     lid_2230  149.645915    2.298493    0.356 
     lid_2231  149.651167    2.290342    0.483 
     lid_2236  149.512026    2.185229    0.432 
     lid_2238  149.538144    2.192412    0.932 
     lid_2239  149.547924    2.077952    1.242 
     lid_2240  149.549922    2.125425    0.352 
     lid_2241  149.567341    2.219446    0.652 
     lid_2242  149.570842    2.092464    0.545 
     lid_2243  149.572208    2.096999    0.459 
     lid_2245  149.618983    2.108375    0.414 
     lid_2246  149.644666    2.169068    0.747 
     lid_2247  149.661779    2.153662    1.565 
     lid_2249  149.494802    2.046403    0.388 
     lid_2250  149.494791    2.084301    0.541 
     lid_2251  149.500343    2.087275    0.771 
     lid_2258  149.551032    2.781008    0.861 
     lid_2260  149.595347    2.789599    1.036 
     lid_2261  149.647980    2.716674    0.313 
     lid_2262  149.648130    2.731318    0.513 
     lid_2263  149.669208    2.824405    1.528 
     lid_2265  149.398835    2.466084    1.457 
     lid_2266  149.472643    2.587465    0.271 
     lid_2267  149.555171    2.402639    0.455 
     lid_2268  149.569564    2.418730    0.250 
     lid_2269  149.610704    2.411188    0.755 
     lid_2271  149.368517    2.247852    1.425 
     lid_2272  149.381900    2.271453    1.306 
     lid_2273  149.381921    2.374153    1.334 
     lid_2274  149.384920    2.272251    1.172 
     lid_2275  149.395983    2.319131    1.001 
     lid_2277  149.421731    2.208110    1.494 
     lid_2278  149.445179    2.360390    0.603 
     lid_2279  149.450282    2.296360    0.842 
      lid_228  150.070251    2.694650    0.290 
     lid_2280  149.458898    2.430260    0.700 
     lid_2281  149.515961    2.378498    0.619 
     lid_2283  149.516281    2.174471    0.626 
     lid_2284  149.545312    2.317733    0.450 
     lid_2285  149.365213    2.681885    1.870 
     lid_2286  149.387038    2.742832    1.521 
     lid_2287  149.396348    2.746043    0.365 
     lid_2288  149.405387    2.830989    1.439 
     lid_2289  149.409086    2.821199    1.053 
      lid_229  150.092359    2.718557    0.525 
     lid_2291  149.428126    2.750556    0.455 
     lid_2292  149.437355    2.790593    0.653 
     lid_2293  149.442504    2.729226    0.441 
     lid_2294  149.451104    2.821024    0.784 
     lid_1459  150.429790    1.684445    0.149 
     lid_1460  150.433460    1.665928    0.268 
     lid_1461  150.448539    1.685547    0.314 
     lid_1462  150.470435    1.725487    0.278 
     lid_1464  150.406140    1.808320    0.567 
     lid_1474  150.476388    1.809641    0.225 
     lid_1475  150.485240    1.803034    0.136 
     lid_1476  150.489930    1.867998    0.163 
     lid_1477  150.491354    1.793717    0.198 
     lid_1478  150.491780    1.772520    0.237 
     lid_1479  150.497685    1.861008    0.547 
     lid_1480  150.509409    1.857590    0.555 
     lid_1481  150.510228    1.851053    0.163 
     lid_1482  150.531472    1.859164    0.603 
     lid_1485  150.438951    1.967650    0.590 
     lid_1486  150.449906    2.001425    0.484 
