name,significance,var_flag,streak_src_flag,pileup_flag,ra,dec,missing,sat_src_flag,extent_flag,conf_flag
2CXO J111136.6-611948,4.545454545454362,0,0,0,167.90261559235026,-61.33001138291198,0.4406779661016949,0,0,0
2CXO J111136.9-610302,2.8888888888888027,0,0,0,167.9038877866077,-61.05056256207055,0.3220338983050847,0,0,0
2CXO J111136.9-611100,5.911457652729231,0,0,0,167.90378758730287,-61.183520799075716,0.2542372881355932,0,0,0
2CXO J111137.3-612106,2.2051282051282435,0,0,0,167.90548979200003,-61.35186096970001,0.4576271186440678,0,0,0
2CXO J111137.4-611914,3.5294117647059524,0,0,0,167.9058463082963,-61.32062547500306,0.3220338983050847,0,0,0
2CXO J111137.6-611943,2.5555555555555647,0,0,0,167.90672721501969,-61.32866552271787,0.4406779661016949,0,0,0
2CXO J111137.7-611355,2.7999999999998506,0,0,0,167.9074493277351,-61.23206608451228,0.3559322033898305,0,0,0
2CXO J111137.9-611937,10.475695591238797,0,0,0,167.90832786043416,-61.327098897046405,0.2542372881355932,0,0,0
2CXO J111138.1-610756,3.757575757575848,0,0,0,167.90914217712566,-61.13237003388545,0.4067796610169492,0,0,0
2CXO J111138.6-611824,2.2631578947367905,0,0,0,167.91093996571408,-61.306730545202754,0.4745762711864407,0,0,0
2CXO J111138.8-611357,5.915425166470152,0,0,0,167.91205088869023,-61.23270323188201,0.3050847457627119,0,0,0
2CXO J111138.8-611805,2.4324324324324382,0,0,0,167.91173738536062,-61.301605474212465,0.4745762711864407,0,0,0
2CXO J111139.6-611930,3.636363636363317,0,0,0,167.91519546778258,-61.32507384587677,0.3898305084745763,0,0,0
2CXO J111139.9-611923,2.1000000000000387,0,0,0,167.91634372059764,-61.32311325110077,0.3389830508474576,0,0,0
2CXO J111140.2-611645,5.9104916282008695,0,0,0,167.91784361706968,-61.27926016158906,0.2542372881355932,0,0,0
2CXO J111140.4-610738,2.4736842105263035,0,0,0,167.91846497334998,-61.12726249928771,0.4915254237288136,0,0,0
