name,catalog,cat_name,significance,var_flag
2CXO J125311.1-091117,VERONCAT,CXOCY J12531-0911,8.012950134973083,0
2CXO J140708.9+341231,VERONCAT,SDSS J14071+3412 ,8.012681494497247,0
2CXO J032402.0-003035,VERONCAT,SDSS J03240-0030 ,7.9919566012112035,0
2CXO J100108.3+022342,VERONCAT,COSM J10011+0223 ,7.985701445344759,0
2CXO J160936.2+543811,VERONCAT,EN1-202260       ,7.970759200318793,1
2CXO J074521.7+473436,VERONCAT,HS 0741+4741     ,7.9653829364888775,0
2CXO J150935.8+570325,VERONCAT,CXO J15095+5703B ,7.959821233407595,0
2CXO J123754.8+084106,VERONCAT,Q 1235+0857      ,7.939427754173673,0
2CXO J100243.8+020502,VERONCAT,COSM J10027+0205 ,7.930660052438205,1
2CXO J142734.8+352543,VERONCAT,SDSS J14275+3525 ,7.924506651745862,0
2CXO J142312.7+452858,VERONCAT,SDSS J14232+4528 ,7.920926087291358,0
2CXO J105225.2+572246,VERONCAT,RX J10524+5722   ,7.920629011831817,1
2CXO J022651.0-044256,VERONCAT,CDFS J02268-0442 ,7.915706958951207,0
2CXO J044223.1+020219,VERONCAT,CXO J04423+0202C ,7.912760137163334,0
2CXO J125543.1+084145,VERONCAT,SDSS J12557+0841 ,7.908609030578287,0
2CXO J100309.1+022038,VERONCAT,SDSS J10031+0220 ,7.907882620412817,0
2CXO J112238.5+010335,VERONCAT,SDSS J11226+0103 ,7.904216882712343,0
2CXO J122826.8+063826,VERONCAT,SDSS J12284+0638 ,7.903266363591652,0
2CXO J130205.2+155134,VERONCAT,SDSS J13020+1551 ,7.893172818501188,0
2CXO J024145.2+003028,VERONCAT,SDSS J02417+0030 ,7.887609498250715,0
2CXO J113724.0+300337,VERONCAT,SDSS J11374+3003 ,7.869797731815892,0
2CXO J135415.7+161051,VERONCAT,SDSS J13542+1610 ,7.8651942726753035,0
2CXO J171613.4+671132,VERONCAT,CXO J17162+6711  ,7.860742718332228,0
2CXO J123540.1+123620,VERONCAT,SDSS J12356+1236 ,7.859865848172188,0
2CXO J141823.6+244800,VERONCAT,SDSS J14183+2448 ,7.854558284129594,0
2CXO J130307.8+191942,VERONCAT,SDSS J13031+1919 ,7.8464502855961795,0
2CXO J103351.5+572502,VERONCAT,CLASXS 282       ,7.843677431939697,0
2CXO J095500.1-013006,VERONCAT,BRI 0952-0115    ,7.84327048495395,0
2CXO J121711.0+583525,VERONCAT,S4 1214+58       ,7.8356043773109425,0
2CXO J233706.3+002132,VERONCAT,SDSS J23371+0021 ,7.835359264664122,0
2CXO J033259.5-280123,VERONCAT,ECDF-S 447       ,7.827869252098467,1
2CXO J105243.2+571544,VERONCAT,1WGA J1052.7+5715,7.82011861010387,1
2CXO J115108.8+471509,VERONCAT,SDSS J11511+4715 ,7.816537513029607,1
2CXO J133238.7+020042,VERONCAT,2QZ J133238+0200 ,7.80788566383214,0
2CXO J033151.8-280025,VERONCAT,ECDF-S 298       ,7.803630502319045,1
2CXO J213315.5-425426,VERONCAT,Q 2130-4307      ,7.8006578904556125,0
2CXO J033140.1-274746,VERONCAT,ECDF-S 197       ,7.78138300389691,1
2CXO J100226.7+014051,VERONCAT,COSM J10024+0140 ,7.773827306618619,1
2CXO J131719.0+291112,VERONCAT,CXO J13173+2911  ,7.7732600718526434,0
2CXO J102753.8+003055,VERONCAT,Q 1025+0046      ,7.7678282956080755,0
2CXO J143303.4-010709,VERONCAT,2QZ J143303-0107 ,7.761639394848722,0
2CXO J141736.9+522430,VERONCAT,XMM J14176+5224  ,7.7348891044117725,0
2CXO J160517.7-010955,VERONCAT,SDSS J16052-0109 ,7.733153329072563,0
2CXO J122257.9+751934,VERONCAT,XMM J12229+7519  ,7.7317212315684225,0
2CXO J124057.3+110110,VERONCAT,SDSS J12409+1101 ,7.719177651947089,0
2CXO J115307.4+440219,VERONCAT,SDSS J11531+4402 ,7.714699470257304,0
2CXO J005424.8+124215,VERONCAT,Q J005425+124215 ,7.701111242573832,0
2CXO J143121.4+324913,VERONCAT,SDSS J14313+3249 ,7.697247215248543,0
2CXO J095759.4+020436,VERONCAT,SDSS J09579+0204 ,7.695636806084031,1
2CXO J022150.6+132740,VERONCAT,2MASS J02218+1327,7.69318409812784,0
2CXO J100117.7+023309,VERONCAT,COSM J10012+0233 ,7.685637460296621,0
2CXO J095438.7+403204,VERONCAT,SDSS J09546+4032 ,7.676286712399657,1
2CXO J095920.9+020031,VERONCAT,SDSS J09593+0200 ,7.664395557101058,0
2CXO J234738.6-280500,VERONCAT,2QZ J234738-2805 ,7.6637635872996785,0
2CXO J112506.9-001647,VERONCAT,SDSS J11251-0016 ,7.6622480954786685,0
2CXO J124445.7+111655,VERONCAT,SDSS J12447+1116 ,7.652650416368876,0
2CXO J160525.5-011031,VERONCAT,SDSS J16054-0110 ,7.651178123399599,0
2CXO J033216.1-274942,VERONCAT,CDFS J03322-2749 ,7.647123580967362,0
2CXO J095845.2+022442,VERONCAT,COSM J09587+0224 ,7.641712758462435,0
2CXO J011927.4-083133,VERONCAT,SDSS J01194-0831 ,7.63559495395953,0
2CXO J095806.2+020113,VERONCAT,COSM J09581+0201 ,7.596667368704712,1
2CXO J084052.1+131823,VERONCAT,CXOMP J08408+1318,7.594945690022535,1
2CXO J133452.1+375744,VERONCAT,1WGA J1334.8+3757,7.5935062890702065,1
2CXO J100014.0+022838,VERONCAT,SDSS J10002+0228 ,7.592048779973258,0
2CXO J153425.5+040806,VERONCAT,SDSS J15344+0408 ,7.588792346196045,0
2CXO J044223.1+020208,VERONCAT,CXO J04423+0202A ,7.579577878283618,0
2CXO J085427.7+022401,VERONCAT,SDSS J08544+0224 ,7.573371326667077,0
2CXO J111518.5+531452,VERONCAT,SDSS J11153+5314 ,7.566512281707967,0
2CXO J100303.6+021051,VERONCAT,COSM J10030+0210 ,7.5649294222403265,1
2CXO J095756.7+024840,VERONCAT,COSM J09579+0248 ,7.562807532490723,0
2CXO J131733.5+290811,VERONCAT,CXO J13175+2908  ,7.537304352859745,0
2CXO J100219.4+025049,VERONCAT,SDSS J10023+0250 ,7.533217517873678,0
2CXO J131055.0+300411,VERONCAT,FIRST J13109+3004,7.523831512411188,0
2CXO J142048.6+394532,VERONCAT,SDSS J14208+3945 ,7.52333934203174,0
2CXO J234812.8+010022,VERONCAT,CXO J23482+0100  ,7.520639229889189,0
2CXO J144024.8+033608,VERONCAT,SDSS J14404+0336 ,7.510565518750642,0
2CXO J062652.7+820440,VERONCAT,CXOMP J06268+8204,7.5038879754604855,0
2CXO J100156.2+020943,VERONCAT,COSM J10019+0209 ,7.503380215977835,0
2CXO J235833.2+003453,VERONCAT,SDSS J23585+0034 ,7.500808717411316,0
